target_name,gene,description,KOG,remarks,Mountain,fL3s446,eL3s82,FC,fL3s364,eL3s125,FC.1,fL4s660,eL4s408,FC.2,fL4s1165,eL4s377,FC.3,fADs1711,eADs213,FC.4,fADs547,eADs598,FC.5,fL3m1612,eL3m951,FC.6,fL3m4134,eL3m1037,FC.7,fL4m1857,eL4m1318,FC.8,fL4m3713,eL4m3494,FC.9,fADm2498,eADm2449,FC.10,fADm2040,eADm2527,FC.11,fADm981,eADm599,FC.12,fADm631,eADm765,FC.13,Input,Suggested Match,History
Y38H8A.5,Y38H8A.5,"The Y38H8A.5 gene encodes a homolog of the human gene ZNF195 (or p57KIP2), which when mutated leads to Beckwith-Wiedemann syndrome (<a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=130650"">OMIM:130650</a>). ",,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 0,76,4,3.43,34,0,13.29,227,26,5.33,226,17,4.24,288,34,10.25,138,2,50.43,0,0,0.6,0,0,0.25,0,0,0.71,0,0,0.94,0,1,0.49,0,0,1.24,0,0,0.62,0,0,1.21,Y38H8A.5,WBGene00012639,Sequence name for WBGene00012639(fezf-1). History: N.A.
Y39A1A.23,hpr-9,,"Checkpoint 9-1-1 complex, RAD9 component ",sRNA_DOWN in ego-1_AND_mRNA_inconsistent,,21,3,1.22,21,3,2.09,30,4,3.91,53,1,9.08,62,2,26.08,34,0,38.09,5,0,3.57,30,5,1.32,11,13,0.61,62,42,1.38,46,108,0.42,30,129,0.29,30,27,0.68,21,30,0.86,Y39A1A.23,WBGene00001997,Sequence name for WBGene00001997(hpr-9). History: N.A.
Y39A1A.6,Y39A1A.6,,Mitochondrial/chloroplast ribosomal protein L22 ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 2,8,0,2.0,9,0,3.8,22,1,7.26,41,0,14.12,48,1,30.43,17,1,9.8,15,0,9.53,83,33,0.63,19,37,0.38,108,96,1.06,48,48,0.98,27,51,0.67,11,13,0.53,20,17,1.41,Y39A1A.6,WBGene00012645,Sequence name for WBGene00012645(mrpl-22). History: N.A.
Y39A1B.3,dpy-28,"dpy-28 encodes a non-SMC condensin subunit homolog, similar to XCAP-D2 in Xenopus, CND1 in S. pombe, YCS4p in S. cerevisiae, and CNAP1 in humans; DPY-28 is required for negative, chromosome-wide regulation of X-chromosomal genes in XX but not XO animals (dosage compensation) and for regulation of meiotic crossover number and distribution; DPY-28 is also required for an undetermined aspect of body morphogenesis; DPY-28 is part of a multi-protein dosage compensation complex (DCC) with DPY-26, DPY-27 and MIX-1 that localizes to X chromosomes of XX embryos by the 40-cell stage of embryogenesis and to all condensed mitotic chromosomes during mitosis. ","Chromosome condensation complex Condensin, subunit D2 ",sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 2,31,0,7.12,45,6,2.5,70,6,6.4,141,7,5.97,204,5,42.43,32,4,7.18,11,0,7.15,164,32,1.27,65,40,1.15,213,96,2.08,297,329,0.89,250,331,0.93,112,67,1.03,89,96,1.12,Y39A1B.3,WBGene00001087,Sequence name for WBGene00001087(dpy-28). History: N.A.
Y39E4B.2,Y39E4B.2,,"Small nuclear RNA activating complex (SNAPc), subunit SNAP43 ",sRNA_DOWN in ego-1_AND_mRNA_UP in ego-1,,67,0,15.14,65,12,1.93,160,11,8.47,940,1,158.2,277,3,86.32,62,4,13.71,26,20,0.77,34,17,0.5,73,54,0.96,166,346,0.45,503,833,0.59,393,749,0.65,153,157,0.6,86,169,0.62,Y39E4B.2,WBGene00012715,Sequence name for WBGene00012715(snpc-1.2). History: N.A.
Y39G10AR.12b,tpxl-1,"tpxl-1 encodes a protein that contains an N-terminal Aurora A kinase binding domain similar to that of Xenopus laevis TPX2; during mitosis, TPXL-1 activity is required for activation and localization of the AIR-1 Aurora A kinase to mitotic spindles, and thus for proper mitotic spindle assembly; TPXL-1 physically interacts with AIR-1 in vitro and colocalizes with AIR-1 at the centrosome, particularly the outer centrosomal layer, and along microtubules extended outward from the centrosome. ",,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 0,27,0,6.23,24,4,1.9,63,6,5.77,140,0,47.41,119,0,149.03,54,6,8.55,7,51,0.09,63,17,0.91,34,39,0.62,90,171,0.5,433,665,0.64,311,689,0.56,230,127,1.12,86,219,0.48,Y39G10AR.12b,WBGene00021470,Molecule name for WBGene00021470(tpxl-1). History: N.A.
Y39G10AR.13,icp-1,The icp-1 gene encodes a 'chromosomal passenger protein'; inactivation of icp-1 by RNAi leads to a complete failure of chromosome segregation during the first mitotic division of embryonic development. ,"Inner centromere protein (INCENP), C-terminal domain ",sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 0,117,7,3.28,78,17,1.67,454,18,15.11,905,4,60.93,247,3,77.0,194,2,70.74,127,105,0.72,262,48,1.37,185,153,0.86,208,694,0.28,1080,1898,0.56,921,2042,0.56,567,878,0.4,204,832,0.3,Y39G10AR.13,WBGene00002047,Sequence name for WBGene00002047(icp-1). History: N.A.
Y39G10AR.2,zwl-1,,Uncharacterized conserved protein ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,,36,0,8.24,24,1,4.75,76,4,9.72,136,0,46.07,101,0,126.68,44,0,48.98,20,0,12.51,42,22,0.48,47,49,0.68,117,153,0.72,431,451,0.94,332,468,0.88,92,97,0.59,96,95,1.22,Y39G10AR.2,WBGene00021460,Sequence name for WBGene00021460(zwl-1). History: N.A.
Y39G10AR.21,Y39G10AR.21,"Y39G10AR.21 is orthologous to the human gene SIMILAR TO RIKEN CDNA 2810405F18 GENE (FAAH; <a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=602935"">OMIM:602935</a>), which when mutated leads to disease. ",tRNA cytosine-5-methylases and related enzymes of the NOL1/NOP2/sun superfamily ,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 3,15,3,0.89,23,4,1.82,45,4,5.81,77,2,8.74,125,7,19.56,32,4,7.18,35,0,21.44,80,27,0.74,33,33,0.71,66,73,0.85,76,106,0.71,34,81,0.53,19,21,0.56,29,16,2.13,Y39G10AR.21,WBGene00021476,Sequence name for WBGene00021476(nsun-4). History: N.A.
Y39G10AR.8,Y39G10AR.8,,"Translation initiation factor 2, gamma subunit (eIF-2gamma; GTPase) ",sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 0,23,1,2.67,15,6,0.87,84,6,7.66,197,2,22.19,138,1,86.32,21,0,23.94,679,599,0.67,1289,295,1.11,753,328,1.63,991,1472,0.63,1022,826,1.21,817,824,1.23,520,211,1.52,275,238,1.39,Y39G10AR.8,WBGene00021466,Sequence name for WBGene00021466(eif-2gamma). History: N.A.
Y39H10A.7b,chk-1,chk-1 encodes a CHK1-like serine threonin protein kinase that affects fertility. ,Checkpoint kinase and related serine/threonine protein kinases ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 1,30,0,6.9,26,1,5.13,57,3,9.15,92,0,31.27,139,11,14.49,45,0,50.06,13,0,8.34,35,17,0.51,44,21,1.46,60,85,0.67,208,355,0.58,148,341,0.54,54,81,0.41,54,69,0.95,Y39H10A.7b,WBGene00000498,Molecule name for WBGene00000498(chk-1). History: N.A.
Y40B10A.1b,lbp-9,,Fatty acid-binding protein FABP ,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 3,3,0,0.89,10,6,0.6,43,2,9.26,100,0,33.96,85,0,106.81,21,0,23.94,386,227,1.01,731,120,1.54,554,336,1.17,535,854,0.59,1723,1689,1.0,1397,1688,1.02,1204,560,1.33,919,868,1.28,Y40B10A.1b,WBGene00021486,Molecule name for WBGene00021486(lbp-9). History: N.A.
Y40B10A.8,nhr-86,,Hormone receptors ,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 21,28,10,0.59,36,14,0.94,95,6,8.65,169,2,19.05,242,4,60.36,47,0,52.24,27,97,0.17,60,17,0.86,64,26,1.72,74,115,0.61,161,205,0.77,79,162,0.61,80,56,0.88,61,82,0.9,Y40B10A.8,WBGene00003676,Sequence name for WBGene00003676(nhr-86). History: N.A.
Y41D4B.12b,set-23,"set-23 encodes, by alternative splicing, one isoform of a putative histone H3 lysine-9 methyltransferase orthologous to human SETMAR (<a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=609834"">OMIM:609834</a>); set-23(n4496) has an embryonic lethal phenotype. ","Histone H3 (Lys9) methyltransferase SUV39H1/Clr4, required for transcriptional silencing ",sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 5,30,20,0.33,18,5,1.2,56,109,0.33,65,117,0.19,268,1866,0.18,181,722,0.27,4,87,0.03,31,6,1.16,5,9,0.43,20,17,1.1,30,6,4.34,21,10,2.47,13,1,4.33,4,3,1.51,Y41D4B.12b,WBGene00021515,Molecule name for WBGene00021515(set-23). History: N.A.
Y41D4B.19b,npp-8,,"Nuclear pore complex, Nup155 component (D Nup154, sc Nup157/Nup170) ",sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 3,72,12,1.25,43,12,1.29,97,10,5.62,177,5,9.98,314,30,12.62,94,14,6.89,194,140,0.82,339,75,1.14,193,101,1.36,341,563,0.57,733,473,1.52,554,433,1.58,166,144,0.71,128,187,0.83,Y41D4B.19b,WBGene00003794,Molecule name for WBGene00003794(npp-8). History: N.A.
Y41E3.11,Y41E3.11,,"Scaffold/matrix specific factor hnRNP-U/SAF-A, contains SPRY domain ",sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 5,30,2,2.3,38,4,2.96,55,7,4.42,100,6,4.85,175,9,21.86,53,9,5.88,223,178,0.75,517,126,1.04,310,180,1.23,442,672,0.62,858,446,1.88,639,535,1.48,297,182,1.01,181,235,0.93,Y41E3.11,WBGene00012769,Sequence name for WBGene00012769(hrpu-1). History: N.A.
Y41E3.9,fcd-2,"fcd-2 encodes an ortholog of the human gene FANCD2 (mutated in Fanconi anemia, <a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=227646"">OMIM:227646</a>) that is strongly required for resistance to DNA interstrand crosslinking (ICL) agents, but not to ionizing radiation (IR); fcd-2 mutants are viable and dispensable for resistance to IR, meiotic recombination, and S-phase checkpoint activation, but are hypersensitive to ICL agents; like its human ortholog, FCD-2 is monoubiquitylated and recruited to chromosomal foci after ICL but not IR; transgenic expresssion of the FANCD2 gene in mutant FA-D2 cells rescues their abnormal sensitivity to mitomycin C, an agent that cross-links strands of DNA. ",,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 5,54,2,4.08,45,2,5.82,59,5,6.31,118,6,5.72,156,1,97.49,51,2,18.86,69,26,1.54,108,21,1.26,118,62,1.35,196,203,0.91,341,473,0.71,329,506,0.8,122,105,0.72,66,161,0.5,Y41E3.9,WBGene00012767,Sequence name for WBGene00012767(fcd-2). History: N.A.
Y42G9A.4b,Y42G9A.4,"mvk-1 encodes an ortholog of the human gene MEVALONATE KINASE (MVK), which when mutated leads to mevalonicaciduria (<a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=251170"">OMIM:251170</a>). ",Mevalonate kinase MVK/ERG12 ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 5,21,2,1.63,21,5,1.39,65,5,6.94,163,4,11.03,113,4,28.32,46,0,51.15,169,0,101.23,385,120,0.81,85,106,0.57,410,244,1.58,152,351,0.43,118,315,0.47,42,76,0.35,49,82,0.73,Y42G9A.4b,WBGene00021534,Molecule name for WBGene00021534(mvk-1). History: N.A.
Y43F11A.5,set-24,"set-24 encodes a protein with an N-terminal SET domain, followed by two SPK domains; SET-24's domain organization resembles that of SET-5, but SET-24 has no known non-nematode orthologs or C. elegans paralogs; neither set-24(n4909) nor set-24(RNAi) have any obvious phenotypes. ",,sRNA_DOWN in ego-1_AND_mRNA_UP in ego-1,Mountain 2,116,8,2.89,102,10,3.56,248,14,10.48,411,7,17.32,467,4,116.25,140,15,9.59,0,0,0.6,13,18,0.19,12,33,0.27,89,135,0.62,101,296,0.34,86,313,0.34,28,48,0.37,37,65,0.69,Y43F11A.5,WBGene00012845,Sequence name for WBGene00012845(set-24). History: N.A.
Y43F4B.3,set-25,"set-25 encodes a putative histone H3 lysine-9 methyltransferase, with a C-terminal SET domain but no obvious non-nematode orthologs; SET-25 is required both for normal axonal guidance during development, and for a normally low somatic mutation rate; set-25(RNAi) animals have defective DD/VD motoneuron commissures, and also display an elevated somatic mutation rate, but are otherwise normal. ",,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 12,95,0,21.37,84,18,1.7,139,7,11.04,273,16,5.42,429,18,28.11,151,1,82.72,21,0,13.1,39,20,0.49,57,29,1.38,86,69,1.17,243,363,0.66,191,417,0.57,33,62,0.33,37,53,0.85,Y43F4B.3,WBGene00012802,Sequence name for WBGene00012802(set-25). History: N.A.
Y43F4B.4,npp-18,,Nuclear pore complex component (sc Seh1) ,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 18,24,2,1.85,16,7,0.81,62,3,9.94,176,4,11.9,120,4,30.06,54,0,59.86,34,15,1.3,63,41,0.39,54,47,0.82,186,208,0.84,330,243,1.33,296,293,1.25,135,57,1.45,107,93,1.39,Y43F4B.4,WBGene00003804,Sequence name for WBGene00003804(npp-18). History: N.A.
Y43F4B.6,klp-19,"klp-19 encodes a plus-end-directed microtubule motor protein that is most closely related to motors of the kinesin-4 family; KLP-19 activity is essential for embryonic and larval development and is required for generating a force that aligns sister chromatid kinetochores directly opposite the spindle poles thus ensuring proper holocentric chromosome segregation; KLP-19 expression is detected in embryos and in the gonad, where it is most strongly expressed in distal mitotic nuclei and in late meiotic prophase nucleoplasm; during meiosis and mitosis, KLP-19 expression is dynamic and is detected in the nucleoplasm, the spindle body, in association with condensed chromosomes (particularly between homologous chromosomes), and in the spindle interzone. ",Kinesin-like protein ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 11,150,23,1.4,122,13,3.34,251,11,13.25,489,7,20.59,932,5,193.12,232,2,84.53,297,133,1.32,407,84,1.22,538,233,1.64,644,1150,0.53,3568,4311,0.81,2919,4019,0.9,990,1375,0.45,522,1588,0.4,Y43F4B.6,WBGene00002229,Sequence name for WBGene00002229(klp-19). History: N.A.
Y45F10A.2,puf-3,"The puf-3 gene encodes a predicted RNA binding protein that is a member of the conserved PUF (Pumilio and FBF) family of RNA binding proteins; PUF-3 is expressed in the ovary and is required for multiple aspects of early embryogenesis including proper cell cycle timing, spindle positioning, and formation of the polar bodies and pronuclei. ",Translational repressor Pumilio/PUF3 and related RNA-binding proteins (Puf superfamily) ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 7,34,0,7.79,17,5,1.14,48,4,6.18,61,1,10.42,146,2,60.86,103,0,113.19,3,0,2.38,1,4,0.1,53,18,2.03,73,110,0.63,981,1145,0.84,741,1101,0.83,310,320,0.6,233,423,0.67,Y45F10A.2,WBGene00004239,Sequence name for WBGene00004239(puf-3). History: N.A.
Y45G5AM.2,Y45G5AM.2,,Xaa-Pro aminopeptidase ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,,116,4,5.21,89,16,2.01,237,12,11.55,396,6,19.07,497,6,88.36,234,2,85.25,5,0,3.57,22,9,0.59,31,48,0.47,108,198,0.52,202,568,0.35,178,597,0.37,42,78,0.34,47,112,0.51,Y45G5AM.2,WBGene00021555,Sequence name for WBGene00021555(pid-5). History: N.A.
Y45G5AM.8,Y45G5AM.8,,Unnamed protein ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,,18,0,4.23,23,3,2.28,33,1,10.73,49,0,16.81,105,4,26.33,25,3,7.07,11,0,7.15,5,5,0.25,68,23,2.05,81,123,0.62,187,119,1.54,147,131,1.39,46,30,0.94,31,41,0.92,Y45G5AM.8,WBGene00021560,Sequence name for WBGene00021560(coh-4). History: N.A.
Y46E12BL.2,Y46E12BL.2,,Uncharacterized conserved protein ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,,61,8,1.53,42,11,1.36,138,15,5.48,282,10,8.65,253,26,11.68,97,16,6.27,861,653,0.78,402,208,0.49,440,178,1.76,389,758,0.48,538,282,1.87,487,243,2.47,276,124,1.37,117,119,1.19,Y46E12BL.2,WBGene00021595,Public name for WBGene00021595. History: N.A.
Y46G5A.31,gsy-1,"gsy-1 is orthologous to the human gene GLYCOGEN SYNTHASE 1 (GYS1; <a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=138570"">OMIM:138570</a>); deficiencies of GYS1 may be associated with susceptibility to type 2 diabetes. ",Glycogen synthase ,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain ,30,10,0.63,24,3,2.37,37,5,4.0,66,6,3.22,125,3,39.12,40,0,44.62,317,119,1.58,695,133,1.32,423,203,1.48,594,526,1.06,984,928,1.04,704,968,0.9,291,160,1.12,153,413,0.45,Y46G5A.31,WBGene00001793,Sequence name for WBGene00001793(gsy-1). History: N.A.
Y47D3A.26,smc-3,,"Structural maintenance of chromosome protein 3 (sister chromatid cohesion complex Cohesin, subunit SMC3) ",sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 5,19,1,2.23,16,2,2.15,24,0,15.78,57,0,19.5,50,1,31.67,32,0,35.92,117,139,0.5,311,95,0.83,204,154,0.94,649,463,1.32,875,890,0.96,735,873,1.04,317,153,1.28,219,244,1.08,Y47D3A.26,WBGene00004873,Sequence name for WBGene00004873(smc-3). History: N.A.
Y47D3A.29,Y47D3A.29,"Y47D3A.29 encodes the catalytic subunit of DNA polymerase alpha; large-scale RNAi screens indicate that Y47D3A.29 activity is essential for embryogenesis and required specifically for normal pronuclear migration, as well as normal nuclear position and cell division timing in early blastomeres. ","DNA polymerase alpha, catalytic subunit ",sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 5,43,2,3.26,45,7,2.18,99,6,9.02,139,5,7.85,151,9,18.88,47,7,6.53,152,190,0.48,378,72,1.32,496,188,1.88,537,666,0.76,1402,1062,1.29,1051,1006,1.29,238,209,0.7,189,328,0.7,Y47D3A.29,WBGene00012936,Sequence name for WBGene00012936(pola-1). History: N.A.
Y47G6A.10,spg-7,"spg-7 encodes a metalloprotease orthologous to human paraplegin, a nuclear-encoded mitochondrial metalloprotease mutations in which are associated with hereditary spastic paraplegia (spinal cord dysfunction); based upon studies of Saccharomyces cerevisiae SPG7, C. elegans SPG-7 is predicted to function as part of a mt-AAA metalloprotease that regulates proteolytic degradation of mitochondrial proteins and formation of multisubunit mitochondrial protein complexes; loss of spg-7 activity via large-scale RNAi indicates that SPG-7 function is required for embryonic and larval development, reproduction, normal body size and growth rates, and proper subcellular localization of an unc-54::POLYQ(Q35)-YFP transgene; in addition, postdevelopmental inactivation of spg-7 results in significantly increased adult lifespan. ",AAA+-type ATPase containing the peptidase M41 domain ,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 5,25,5,0.96,23,0,9.11,56,4,7.19,51,1,8.74,55,2,23.18,33,0,37.0,611,246,1.48,991,234,1.08,420,223,1.34,710,881,0.76,795,920,0.85,671,961,0.86,355,372,0.59,144,256,0.68,Y47G6A.10,WBGene00004978,Sequence name for WBGene00004978(spg-7). History: Renamed on 2005-03-17; Renamed on 2015-03-05
Y47G6A.18,Y47G6A.18,,,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 1,28,30,0.21,25,16,0.58,69,7,5.52,182,9,6.15,161,7,25.15,51,0,56.59,59,14,2.38,288,67,1.08,117,88,0.95,286,183,1.47,174,239,0.71,125,242,0.64,108,50,1.32,55,54,1.23,Y47G6A.18,WBGene00021644,Public name for WBGene00021644. History: N.A.
Y47G6A.28,tag-63,,,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 7,23,3,1.34,26,1,5.13,36,0,23.35,74,0,25.22,87,1,54.65,49,0,54.42,16,28,0.35,57,9,1.48,56,36,1.1,126,141,0.84,468,443,1.04,420,486,1.07,154,240,0.4,81,224,0.44,Y47G6A.28,WBGene00006440,Sequence name for WBGene00006440(nefr-1). History: Renamed on 2021-04-19
Y48A6B.13,spat-2,"SPAT-2 encodes an unfamiliar protein with no obvious homologs outside of nematodes, and with several stretches of low-complexity sequence that may be nonglobular; SPAT-2 is specifically required for PAR protein-dependent cell-polarity; as with par-3, par-6, pkc-3, and cdc-42, RNAi of spat-2 suppresses the embryonic lethality of par-2(it5ts) at restrictive temperature. ",,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 5,41,15,0.58,56,10,1.97,81,11,4.31,252,12,6.54,210,8,29.12,55,1,30.47,142,50,1.67,292,76,0.97,282,124,1.61,391,436,0.84,369,471,0.77,295,484,0.75,146,107,0.84,90,193,0.57,Y48A6B.13,WBGene00012973,Sequence name for WBGene00012973(spat-2). History: N.A.
Y48A6B.6a,Y48A6B.6,,Voltage-gated K+ channel KCNB/KCNC ,sRNA_UP in ego-1_AND_mRNA_inconsistent,Mountain 0,30,12,0.53,34,33,0.39,105,438,0.15,192,496,0.13,285,3469,0.1,189,1364,0.15,24,0,14.89,6,1,0.89,0,3,0.18,4,3,1.18,4,0,4.9,4,2,2.06,1,1,0.62,1,3,0.6,Y48A6B.6a,WBGene00012967,Molecule name for WBGene00012967(kvs-4). History: N.A.
Y48B6A.1,Y48B6A.1,"Y48B6A.1 encodes an ortholog of human BOP1 (<a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=610596"">OMIM:610596</a>, overexpressed in colon cancer) and S. cerevisiae ERB1; Y48B6A.1 may suppress tumorous growth in the germ line by ensuring robust larval germline proliferation; like PRO-1, -2, and -3, Y48B6A.1 is probably required for ribosome biogenesis, suggesting a link between biogenesis in the distal sheath and control of cell division in the germ line; however, BOP1 is also a phosphoprotein in mitotic spindles and required for normal chromosomal segregation, raising the possibility that Y48B6A.1 is multifunctional. ","WD40 repeat nucleolar protein Bop1, involved in ribosome biogenesis ",sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 5,18,0,4.23,26,4,2.05,58,3,9.31,76,0,25.89,142,0,177.6,36,0,40.27,270,107,1.49,293,110,0.67,185,162,0.81,350,655,0.5,405,396,1.0,353,453,0.96,252,92,1.68,91,132,0.83,Y48B6A.1,WBGene00012978,Public name for WBGene00012978. History: N.A.
Y48E1B.5,Y48E1B.5,,,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 13,29,0,6.68,27,2,3.54,25,2,5.47,41,1,7.06,91,2,38.09,24,3,6.8,28,5,2.88,139,44,0.79,21,35,0.44,130,60,2.02,53,94,0.56,38,68,0.7,7,12,0.38,15,16,1.14,Y48E1B.5,WBGene00013004,Sequence name for WBGene00013004(mrpl-37). History: N.A.
Y48G10A.2,Y48G10A.2,,Unnamed protein ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 0,23,2,1.78,17,4,1.37,126,5,13.36,159,3,13.45,77,2,32.29,55,0,60.95,13,0,8.34,51,19,0.66,8,23,0.27,67,113,0.56,171,160,1.05,121,169,0.89,57,38,0.92,52,57,1.1,Y48G10A.2,WBGene00013019,Public name for WBGene00013019. History: N.A.
Y48G10A.4,Y48G10A.4,,,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 2,23,1,2.67,20,2,2.66,35,5,3.79,118,7,5.0,174,8,24.15,38,0,42.45,17,15,0.67,55,21,0.65,18,16,0.8,82,44,1.74,68,69,0.97,48,89,0.67,41,11,2.16,22,12,2.13,Y48G10A.4,WBGene00013021,Sequence name for WBGene00013021(ints-8). History: N.A.
Y48G1A.5,xpo-2,"imb-5 encodes an importin-beta-like protein orthologous to mammalian CAS proteins (cellular apoptosis susceptibility) and Saccharomyces cerevisiae CSE1 (chromosome segregation 1); IMB-5 is predicted to function in nuclear transport of proteins required for mitotic progression or apoptosis as well as in re-export of importin-alpha, a nuclear import protein; in C. elegans, IMB-5 is essential for embryogenesis and required for normal pronuclear envelope dynamics, and may also play a role in vulval morphogenesis. ",Nuclear export receptor CSE1/CAS (importin beta superfamily) ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 5,52,0,11.8,47,10,1.66,65,9,4.17,119,12,3.1,240,18,15.75,50,10,5.05,67,63,0.63,131,65,0.51,163,82,1.41,183,287,0.6,807,616,1.28,667,599,1.38,212,169,0.77,155,151,1.24,Y48G1A.5,WBGene00002079,Sequence name for WBGene00002079(xpo-2). History: Renamed on 2008-01-30
Y48G1BL.1,Y48G1BL.1,,Small nuclear RNA activating protein complex - 50kD subunit (SNAP50) ,sRNA_inconsistent_AND_mRNA_inconsistent,Mountain 11,31,5,1.19,18,10,0.66,125,7,9.94,574,4,38.67,65,11,6.83,33,4,7.4,0,0,0.6,0,1,0.13,0,1,0.36,2,4,0.56,6,5,1.14,2,3,0.93,0,0,0.62,1,3,0.6,Y48G1BL.1,WBGene00021662,"Sequence name for WBGene00021662(snpc-3.3). History: Split into Y48G1BL.8(WBGene00255594). History of WBGene00021662: Split into ""WBGene00255594"" on 2014-09-03"
Y48G1BL.2,atm-1,"atm-1 encodes an ortholog of human ATM (<a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=208900"">OMIM:208900</a>) that is required for the checkpoint response to DNA damage; human ATM encodes a phosphatidylinositol-3 kinase homolog that is biochemically activated by cellular irradiation, and mutation of ATM leads to ataxia-telengiectasia. ","Protein kinase ATM/Tel1, involved in telomere length regulation and DNA repair ",sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 3,38,2,2.89,52,4,4.03,81,12,3.98,166,8,6.24,236,8,32.7,42,0,46.8,8,0,5.36,53,11,1.15,28,9,2.07,52,47,1.04,66,160,0.41,77,177,0.54,32,45,0.44,19,47,0.5,Y48G1BL.2,WBGene00000227,Sequence name for WBGene00000227(atm-1). History: N.A.
Y48G1C.1,Y48G1C.1,,,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,Mountain 11,142,4,6.37,117,14,2.99,296,15,11.71,532,13,12.8,338,3,105.26,115,1,63.12,7,0,4.76,23,18,0.32,33,61,0.39,61,150,0.39,106,291,0.36,100,285,0.44,57,33,1.06,37,55,0.82,Y48G1C.1,WBGene00021676,Sequence name for WBGene00021676(pid-2). History: Renamed on 2021-03-11
Y48G1C.7,Y48G1C.7,,Unnamed protein ,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,,38,5,1.45,47,4,3.65,93,1,29.66,129,7,5.46,114,2,47.61,39,0,43.53,75,0,45.26,130,39,0.83,97,49,1.4,234,248,0.89,357,240,1.46,266,261,1.26,124,22,3.36,77,58,1.6,Y48G1C.7,WBGene00021681,"Public name for Dead gene WBGene00021680. History of WBGene00021680: Merged into ""WBGene00021681"" on 2010-11-23"
Y48G8AL.6,smg-2,,RNA helicase nonsense mRNA reducing factor (pNORF1) ,sRNA_DOWN in ego-1_AND_mRNA_UP in ego-1,,19,0,4.45,19,2,2.53,48,7,3.87,123,8,4.63,176,22,9.56,50,9,5.55,152,95,0.95,271,73,0.94,137,123,0.79,306,354,0.81,317,451,0.69,258,493,0.65,84,97,0.54,69,177,0.47,Y48G8AL.6,WBGene00004880,Sequence name for WBGene00004880(smg-2). History: N.A.
Y48G9A.1,Y48G9A.1,,,sRNA_DOWN in ego-1_AND_mRNA_inconsistent,,61,9,1.38,53,9,2.05,159,8,11.22,284,6,13.69,375,7,58.37,123,4,26.99,253,132,1.14,467,175,0.68,290,139,1.48,402,458,0.83,224,262,0.84,175,308,0.7,57,38,0.92,51,58,1.06,Y48G9A.1,WBGene00021697,"Public name for Dead gene WBGene00021695. History of WBGene00021695: Merged into ""WBGene00021697"" on 2008-05-07"
