# GenomeVersion=C_elegans_May_2008, TotalTreatObs=4186549, TotalCtrlObs=1836221
Name,Chr,Strand,Start,Stop,pVal [10*Log10(p)] ,Bonferroni  pvalue [10*Log10(p)] ,Storey's qValFDR [10*Log10(q)] ,Fold Change (WT+1)/(K39A+1),WT actual antisense reads,WT normalized antisense read count,K39A antisense reads,WT mean read length,K39A mean read length,Input,Suggested Match,History
ZC410.2,chrIV,+,9074651,9076551,-3.3,0.0,0.0,1.6,1,2,1,18.0,20.0,ZC410.2,WBGene00013880,Sequence name for WBGene00013880(mppb-1). History: N.A.
F36A2.11,chrI,+,8822281,8823599,-3.3,0.0,0.0,1.6,1,2,1,18.0,19.0,F36A2.11,WBGene00009458,Public name for WBGene00009458. History: N.A.
ZK370.8,chrIII,+,8749679,8756976,-3.3,0.0,0.0,1.6,1,2,1,19.0,22.0,ZK370.8,WBGene00022722,Sequence name for WBGene00022722(tomm-70). History: N.A.
T05C12.1,chrII,+,8173635,8174757,-3.3,0.0,0.0,1.6,1,2,1,21.0,22.0,T05C12.1,WBGene00011466,Public name for WBGene00011466. History: N.A.
R03G5.2,chrX,+,7816676,7820985,-3.3,0.0,0.0,1.6,1,2,1,24.0,22.0,R03G5.2,WBGene00004758,Sequence name for WBGene00004758(sek-1). History: N.A.
C33H5.7,chrIV,+,7774431,7775933,-3.3,0.0,0.0,1.6,1,2,1,19.0,22.0,C33H5.7,WBGene00016374,Sequence name for WBGene00016374(swd-2.2). History: N.A.
T02G5.8,chrII,+,7073735,7075490,-3.3,0.0,0.0,1.6,1,2,1,20.0,18.0,T02G5.8,WBGene00002183,Sequence name for WBGene00002183(kat-1). History: N.A.
C17F3.1,chrI,+,6669185,6669594,-3.3,0.0,0.0,1.6,1,2,1,18.0,21.0,C17F3.1,WBGene00015907,Public name for WBGene00015907. History: N.A.
F56D1.3,chrII,+,5474339,5476337,-3.3,0.0,0.0,1.6,1,2,1,18.0,20.0,F56D1.3,WBGene00018961,Sequence name for WBGene00018961(mrps-16). History: N.A.
ZC317.1,chrV,+,5471763,5473128,-3.3,0.0,0.0,1.6,1,2,1,18.0,21.0,ZC317.1,WBGene00022587,Public name for WBGene00022587. History: N.A.
F36H12.8,chrIV,+,5258704,5259961,-3.3,0.0,0.0,1.6,1,2,1,23.0,23.0,F36H12.8,WBGene00018122,Sequence name for WBGene00018122(ttbk-2). History: N.A.
T08H10.3,chrV,+,4471365,4473588,-3.3,0.0,0.0,1.6,1,2,1,18.0,24.0,T08H10.3,WBGene00020370,Public name for WBGene00020370. History: N.A.
H43I07.1,chrV,+,4204776,4208352,-3.3,0.0,0.0,1.6,1,2,1,21.0,20.0,H43I07.1,WBGene00019274,Public name for WBGene00019274. History: N.A.
C29G2.1,chrV,+,2591175,2591757,-3.3,0.0,0.0,1.6,1,2,1,18.0,18.0,C29G2.1,WBGene00016230,"Public name for Dead gene WBGene00016229. History of WBGene00016229: Merged into ""WBGene00016230"" on 2015-09-09"
Y50C1A.1,chrI,+,398894,412513,-3.3,0.0,0.0,1.6,1,2,1,20.0,21.0,Y50C1A.1,WBGene00021733,Sequence name for WBGene00021733(otub-2). History: N.A.
Y48G1BM.1,chrI,+,252118,254129,-3.3,0.0,0.0,1.6,1,2,1,22.0,22.0,Y48G1BM.1,WBGene00021667,Sequence name for WBGene00021667(snpc-3.2). History: N.A.
F40G9.2,chrIII,+,190985,191980,-3.3,0.0,0.0,1.6,1,2,1,22.0,22.0,F40G9.2,WBGene00018240,Sequence name for WBGene00018240(cox-17). History: N.A.
C01B12.4,chrII,+,6664,9233,-3.3,0.0,0.0,1.6,1,2,1,20.0,19.0,C01B12.4,WBGene00015287,Sequence name for WBGene00015287(osta-1). History: N.A.
Y7A5A.10,chrX,-,15794223,15794858,-3.2,0.0,0.0,1.4,2,5,3,20.0,21.0,Y7A5A.10,WBGene00044154,Public name for WBGene00044154. History: N.A.
F58D5.4b,chrI,-,12047702,12059788,-3.2,0.0,0.0,1.4,2,5,3,20.0,21.0,F58D5.4b,WBGene00002240,Molecule name for WBGene00002240(ksr-2). History: N.A.
F15D3.1b,chrI,-,11526913,11557782,-3.2,0.0,0.0,1.4,2,5,3,18.0,21.0,F15D3.1b,WBGene00001131,Molecule name for WBGene00001131(dys-1). History: N.A.
F20D6.10,chrV,-,8192141,8195782,-3.2,0.0,0.0,1.4,2,5,3,20.0,22.0,F20D6.10,WBGene00017639,Public name for WBGene00017639. History: N.A.
F40A3.7,chrV,-,7895610,7899841,-3.2,0.0,0.0,1.4,2,5,3,19.0,20.0,F40A3.7,WBGene00018222,Public name for WBGene00018222. History: N.A.
R151.8,chrIII,-,7226732,7229716,-3.2,0.0,0.0,1.4,2,5,3,22.0,21.0,R151.8,WBGene00020111,Public name for WBGene00020111. History: N.A.
VC5.4,chrV,-,7081526,7084644,-3.2,0.0,0.0,1.4,2,5,3,20.0,22.0,VC5.4,WBGene00007029,Sequence name for WBGene00007029(mys-1). History: N.A.
K11C4.5,chrV,-,6901670,6929020,-3.2,0.0,0.0,1.4,2,5,3,19.0,20.0,K11C4.5,WBGene00006801,Sequence name for WBGene00006801(unc-68). History: N.A.
W09C3.7,chrI,-,4714321,4715486,-3.2,0.0,0.0,1.4,2,5,3,18.0,21.0,W09C3.7,WBGene00021114,Public name for WBGene00021114. History: N.A.
H06I04.6,chrIII,-,3061194,3063292,-3.2,0.0,0.0,1.4,2,5,3,21.0,20.0,H06I04.6,WBGene00019170,Public name for WBGene00019170. History: N.A.
Y54E10BR.5,chrI,-,3028328,3031093,-3.2,0.0,0.0,1.4,2,5,3,21.0,22.0,Y54E10BR.5,WBGene00021844,Sequence name for WBGene00021844(sec-11). History: N.A.
R10F2.6,chrIII,-,2937093,2943632,-3.2,0.0,0.0,1.4,2,5,3,20.0,21.0,R10F2.6,WBGene00019997,Public name for WBGene00019997. History: N.A.
Y54G2A.17a,chrIV,-,2872221,2890446,-3.2,0.0,0.0,1.4,2,5,3,20.0,22.0,Y54G2A.17a,WBGene00021882,Molecule name for WBGene00021882(nprt-1). History: N.A.
T06D8.8,chrII,-,11237367,11239010,-3.2,0.0,-6.6,1.1,6,14,12,21.0,21.0,T06D8.8,WBGene00004465,Sequence name for WBGene00004465(rpn-9). History: N.A.
W02B9.1a,chrI,-,11075751,11134660,-3.2,0.0,-6.6,1.1,6,14,12,20.0,25.0,W02B9.1a,WBGene00001980,Molecule name for WBGene00001980(hmr-1). History: N.A.
C29E4.8,chrIII,-,7949909,7951844,-3.2,0.0,-6.6,1.1,6,14,12,21.0,21.0,C29E4.8,WBGene00002879,"Sequence name for WBGene00002879(let-754). History: N.A.. Public name for Dead gene WBGene00016205. History of WBGene00016205: Merged into ""WBGene00002879"" on 2008-01-30"
F56F3.1,chrIII,-,4471377,4475111,-3.2,0.0,-6.6,1.1,6,14,12,20.0,21.0,F56F3.1,WBGene00004132,Sequence name for WBGene00004132(ifet-1). History: Renamed on 2011-08-12; Renamed on 2011-08-12
ZC123.4c,chrI,-,841756,846765,-3.2,0.0,-6.6,1.1,6,14,12,19.0,20.0,ZC123.4c,WBGene00022519,Molecule name for WBGene00022519(cdk-14). History: N.A.
Y48A6B.3,chrIII,+,11008102,11008815,-3.1,0.0,-8.7,1.0,4,9,9,21.0,21.0,Y48A6B.3,WBGene00012964,Public name for WBGene00012964. History: N.A.
R01H2.2,chrIII,+,7056509,7058427,-3.1,0.0,-8.7,1.0,4,9,9,20.0,22.0,R01H2.2,WBGene00019810,Public name for WBGene00019810. History: N.A.
W09C3.2,chrI,+,4711429,4713447,-3.1,0.0,-8.7,1.0,4,9,9,21.0,22.0,W09C3.2,WBGene00021110,Public name for WBGene00021110. History: N.A.
C47B2.3,chrI,-,12964667,12966864,-3.0,0.0,-6.5,1.0,48,109,108,21.0,22.0,C47B2.3,WBGene00006529,Sequence name for WBGene00006529(tba-2). History: N.A.
Y75B8A.24,chrIII,-,12251372,12273560,-3.0,0.0,-6.5,1.1,5,11,10,21.0,21.0,Y75B8A.24,WBGene00013557,Public name for WBGene00013557. History: N.A.
F53H10.2b,chrV,-,10852499,10865769,-3.0,0.0,-6.5,1.1,5,11,10,20.0,21.0,F53H10.2b,WBGene00010012,Molecule name for WBGene00010012(saeg-1). History: N.A.
D1044.6,chrIII,-,5535622,5543124,-3.0,0.0,-6.5,1.1,5,11,10,20.0,21.0,D1044.6,WBGene00017031,Public name for WBGene00017031. History: N.A.
F56F3.6,chrIII,-,4476856,4477551,-3.0,0.0,-6.5,1.1,5,11,10,19.0,22.0,F56F3.6,WBGene00002100,Sequence name for WBGene00002100(ins-17). History: N.A.
C04F12.9,chrI,-,9710150,9710757,-3.0,0.0,-6.5,1.0,19,43,42,19.0,20.0,C04F12.9,WBGene00007303,Sequence name for WBGene00007303(rnh-1.3). History: N.A.
K04D7.5a,chrIV,+,10197791,10202962,-3.0,0.0,-8.6,1.0,5,11,12,22.0,22.0,K04D7.5a,WBGene00001653,Molecule name for WBGene00001653(gon-4). History: N.A.
C55C3.3,chrIV,+,5685278,5688245,-3.0,0.0,-8.6,1.0,5,11,12,21.0,21.0,C55C3.3,WBGene00016953,Public name for WBGene00016953. History: N.A.
ZK328.5b,chrIII,-,6013483,6018457,-2.9,0.0,-6.5,1.1,8,18,17,19.0,21.0,ZK328.5b,WBGene00003796,Molecule name for WBGene00003796(npp-10). History: N.A.
M7.2,chrIV,+,11084076,11086012,-2.9,0.0,-8.5,0.9,19,43,50,20.0,21.0,M7.2,WBGene00002214,Sequence name for WBGene00002214(klc-1). History: N.A.
F25H2.10,chrI,+,10567881,10569008,-2.9,0.0,-8.5,0.9,9,21,23,20.0,22.0,F25H2.10,WBGene00004408,Sequence name for WBGene00004408(rla-0). History: Renamed on 2010-03-08
ZK328.1b,chrIII,+,6020112,6024600,-2.9,0.0,-8.5,0.9,9,21,23,20.0,22.0,ZK328.1b,WBGene00000874,Molecule name for WBGene00000874(cyk-3). History: N.A.
Y105C5A.15,chrIV,+,15710936,15722227,-2.9,0.0,0.0,1.1,2,5,4,20.0,21.0,Y105C5A.15,WBGene00013639,"Public name for WBGene00013639. History: Split into ""WBGene00219211"" on 2011-08-15"
F53A2.5,chrIII,+,13342564,13343200,-2.9,0.0,0.0,1.1,2,5,4,19.0,22.0,F53A2.5,WBGene00001092,Sequence name for WBGene00001092(dro-1). History: N.A.
T04F3.3,chrV,+,11758926,11760527,-2.9,0.0,0.0,1.1,2,5,4,18.0,23.0,T04F3.3,WBGene00011438,Public name for WBGene00011438. History: N.A.
F44D12.8,chrIV,+,10023309,10025198,-2.9,0.0,0.0,1.1,2,5,4,21.0,23.0,F44D12.8,WBGene00009685,Public name for WBGene00009685. History: N.A.
ZK1098.9,chrIII,+,9544352,9545769,-2.9,0.0,0.0,1.1,2,5,4,20.0,21.0,ZK1098.9,WBGene00014225,"Public name for WBGene00014225. History: Split into ZK1098.12(WBGene00194691). History of WBGene00014225: Split into ""WBGene00194691"" on 2009-07-03"
C26F1.4,chrV,+,7776557,7777217,-2.9,0.0,0.0,1.1,2,5,4,21.0,20.0,C26F1.4,WBGene00004499,Sequence name for WBGene00004499(rps-30). History: N.A.
F59G1.1a,chrII,+,5911290,5916876,-2.9,0.0,0.0,1.1,2,5,4,21.0,21.0,F59G1.1a,WBGene00019127,Molecule name for WBGene00019127(cgt-3). History: N.A.
ZK546.2b.2,chrII,+,4946011,4948056,-2.9,0.0,0.0,1.1,2,5,4,20.0,21.0,ZK546.2b.2,WBGene00022759,Molecule name for WBGene00022759(ZK546.2). History: N.A.
Y48A5A.1,chrIV,+,1965480,1969625,-2.9,0.0,0.0,1.1,2,5,4,20.0,21.0,Y48A5A.1,WBGene00021655,Public name for WBGene00021655. History: N.A.
Y73E7A.2,chrI,+,1601841,1606846,-2.9,0.0,0.0,1.1,2,5,4,19.0,23.0,Y73E7A.2,WBGene00022269,Sequence name for WBGene00022269(aatf-1). History: N.A.
T08D2.7,chrX,+,182691,190559,-2.9,0.0,0.0,1.1,2,5,4,20.0,22.0,T08D2.7,WBGene00011612,Sequence name for WBGene00011612(chkr-1). History: N.A.
F42G4.7,chrII,-,13046457,13047163,-2.9,0.0,0.0,1.6,1,2,1,20.0,20.0,F42G4.7,WBGene00009644,Public name for WBGene00009644. History: N.A.
F58G1.3,chrII,-,12925891,12928246,-2.9,0.0,0.0,1.6,1,2,1,20.0,21.0,F58G1.3,WBGene00010265,Public name for WBGene00010265. History: N.A.
Y56A3A.19,chrIII,-,11915032,11915595,-2.9,0.0,0.0,1.6,1,2,1,18.0,25.0,Y56A3A.19,WBGene00013237,Public name for WBGene00013237. History: N.A.
K12D12.4a,chrII,-,11863442,11865374,-2.9,0.0,0.0,1.6,1,2,1,20.0,26.0,,,
F46C3.1,chrX,-,11410111,11414739,-2.9,0.0,0.0,1.6,1,2,1,18.0,21.0,F46C3.1,WBGene00003970,Sequence name for WBGene00003970(pek-1). History: N.A.
Y53H1C.1a,chrI,-,11388738,11396651,-2.9,0.0,0.0,1.6,1,2,1,22.0,21.0,Y53H1C.1a,WBGene00000010,Molecule name for WBGene00000010(aat-9). History: N.A.
M106.2,chrII,-,10844452,10849921,-2.9,0.0,0.0,1.6,1,2,1,24.0,21.0,M106.2,WBGene00010910,"Public name for WBGene00010910. History: Split into M106.8(WBGene00077658). History of WBGene00010910: Split into ""WBGene00077658"" on 2008-02-22"
K01G5.2c,chrIII,-,10752145,10755405,-2.9,0.0,0.0,1.6,1,2,1,19.0,18.0,K01G5.2c,WBGene00001996,Molecule name for WBGene00001996(hpl-2). History: N.A.
R10H10.2,chrIV,-,10389595,10391909,-2.9,0.0,0.0,1.6,1,2,1,21.0,21.0,R10H10.2,WBGene00004972,Sequence name for WBGene00004972(spe-26). History: N.A.
T20F10.1,chrI,-,10291884,10297912,-2.9,0.0,0.0,1.6,1,2,1,20.0,22.0,T20F10.1,WBGene00007047,"Sequence name for WBGene00007047(wts-1). History: Renamed on 2007-08-01. Public name for Dead gene WBGene00011863. History of WBGene00011863: Merged into ""WBGene00007047"" on 2005-10-05"
K11H3.1d,chrIII,-,9853975,9859080,-2.9,0.0,0.0,1.6,1,2,1,21.0,19.0,K11H3.1d,WBGene00010778,Molecule name for WBGene00010778(gpdh-2). History: N.A.
C06C3.8,chrII,-,9386508,9390824,-2.9,0.0,0.0,1.6,1,2,1,20.0,21.0,C06C3.8,WBGene00007378,Sequence name for WBGene00007378(lido-17). History: N.A.
K07B1.7a,chrV,-,9345085,9346935,-2.9,0.0,0.0,1.6,1,2,1,18.0,21.0,K07B1.7a,WBGene00019467,Molecule name for WBGene00019467(K07B1.7). History: N.A.
T23G5.2a,chrIII,-,9231332,9236231,-2.9,0.0,0.0,1.6,1,2,1,19.0,20.0,T23G5.2a,WBGene00011962,Molecule name for WBGene00011962(T23G5.2). History: N.A.
C53D6.10,chrIV,-,9033615,9034186,-2.9,0.0,0.0,1.6,1,2,1,22.0,21.0,C53D6.10,WBGene00023424,Public name for WBGene00023424. History: N.A.
C06E1.10,chrIII,-,8609972,8614464,-2.9,0.0,0.0,1.6,1,2,1,20.0,22.0,C06E1.10,WBGene00015525,Sequence name for WBGene00015525(rha-2). History: N.A.
T01G9.6b,chrI,-,8288951,8291069,-2.9,0.0,0.0,1.6,1,2,1,18.0,21.0,T01G9.6b,WBGene00002196,Molecule name for WBGene00002196(kin-10). History: N.A.
F44B9.4c,chrIII,-,8005864,8009750,-2.9,0.0,0.0,1.6,1,2,1,19.0,21.0,,,
F45E4.6,chrIV,-,7630202,7632150,-2.9,0.0,0.0,1.6,1,2,1,20.0,22.0,F45E4.6,WBGene00018471,Public name for WBGene00018471. History: N.A.
ZK524.4,chrI,-,7461361,7466417,-2.9,0.0,0.0,1.6,1,2,1,19.0,21.0,ZK524.4,WBGene00013994,Public name for WBGene00013994. History: N.A.
E04F6.11a,chrII,-,7217895,7225588,-2.9,0.0,0.0,1.6,1,2,1,22.0,20.0,E04F6.11a,WBGene00000530,Molecule name for WBGene00000530(clh-3). History: N.A.
Y73B6BL.16,chrIV,-,6346651,6347463,-2.9,0.0,0.0,1.6,1,2,1,21.0,18.0,Y73B6BL.16,,Sequence name for Suppressed gene WBGene00022239. Molecular name for Suppressed gene WBGene00022239. Public name for Suppressed gene WBGene00022239. History of WBGene00022239: Suppressed on 2013-10-17. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
T04C9.6a,chrIII,-,5976729,5982073,-2.9,0.0,0.0,1.6,1,2,1,21.0,21.0,T04C9.6a,WBGene00001489,Molecule name for WBGene00001489(frm-2). History: N.A.
B0414.8a,chrI,-,5803956,5807294,-2.9,0.0,0.0,1.6,1,2,1,21.0,20.0,B0414.8a,WBGene00015176,Molecule name for WBGene00015176(vps-51). History: N.A.
C55C3.4,chrIV,-,5676197,5678129,-2.9,0.0,0.0,1.6,1,2,1,19.0,20.0,C55C3.4,WBGene00016954,Public name for WBGene00016954. History: N.A.
R08C7.8,chrIV,-,4433079,4434534,-2.9,0.0,0.0,1.6,1,2,1,22.0,20.0,R08C7.8,WBGene00019951,Public name for WBGene00019951. History: N.A.
K09D9.11,chrV,-,3997109,4001450,-2.9,0.0,0.0,1.6,1,2,1,22.0,18.0,K09D9.11,WBGene00019568,Public name for WBGene00019568. History: N.A.
C34C12.4,chrIII,-,3467651,3469733,-2.9,0.0,0.0,1.6,1,2,1,18.0,22.0,C34C12.4,WBGene00007923,Public name for WBGene00007923. History: N.A.
K09H9.6,chrI,-,3144429,3147794,-2.9,0.0,0.0,1.6,1,2,1,20.0,24.0,K09H9.6,WBGene00003062,Sequence name for WBGene00003062(lpd-6). History: N.A.
W03D8.9,chrI,-,2784630,2786069,-2.9,0.0,0.0,1.6,1,2,1,20.0,22.0,W03D8.9,WBGene00020990,Public name for WBGene00020990. History: N.A.
Y23H5B.7a,chrI,-,2506780,2513784,-2.9,0.0,0.0,1.6,1,2,1,19.0,18.0,Y23H5B.7a,WBGene00021278,Molecule name for WBGene00021278(Y23H5B.7). History: N.A.
F53A3.2,chrIII,-,1945109,1950246,-2.9,0.0,0.0,1.6,1,2,1,19.0,22.0,F53A3.2,WBGene00018721,Sequence name for WBGene00018721(polh-1). History: N.A.
ZK250.6,chrII,-,1944059,1947912,-2.9,0.0,0.0,1.6,1,2,1,20.0,21.0,ZK250.6,WBGene00022689,"Sequence name for WBGene00022689(math-48). History: Split into ZK250.14(WBGene00235354), ZK250.15(WBGene00235355). History of WBGene00022689: Split into ""WBGene00235354"" on 2013-09-27; Split into ""WBGene00235355"" on 2013-09-27"
Y59E1A.1,chrX,-,1937942,1942194,-2.9,0.0,0.0,1.6,1,2,1,18.0,22.0,Y59E1A.1,WBGene00021987,"Sequence name for WBGene00021987(fbxa-40). History: Split into Y59E1A.4(WBGene00304826). History of WBGene00021987: Split into ""WBGene00304826"" on 2019-07-25"
M01G5.5,chrIII,-,1520214,1532758,-2.9,0.0,0.0,1.6,1,2,1,19.0,21.0,M01G5.5,WBGene00004905,Sequence name for WBGene00004905(snf-6). History: N.A.
H24K24.5,chrV,-,899318,903581,-2.9,0.0,0.0,1.6,1,2,1,18.0,23.0,H24K24.5,WBGene00001480,Sequence name for WBGene00001480(fmo-5). History: N.A.
T24C4.7,chrIII,-,891322,895621,-2.9,0.0,0.0,1.6,1,2,1,21.0,20.0,T24C4.7,WBGene00020763,"Sequence name for WBGene00020763(ztf-18). History: Split into T24C4.10(WBGene00306002). History of WBGene00020763: Split into ""WBGene00306002"" on 2020-01-20"
Y79H2A.4,chrIII,+,12041180,12041972,-2.8,0.0,-8.5,0.9,6,14,15,20.0,22.0,Y79H2A.4,WBGene00013581,Public name for WBGene00013581. History: N.A.
C38C10.6,chrIII,+,9394047,9404433,-2.8,0.0,-8.5,0.9,6,14,15,20.0,22.0,C38C10.6,WBGene00008002,Sequence name for WBGene00008002(nlp-48). History: N.A.
C06C3.1b,chrII,+,9358458,9369012,-2.8,0.0,-8.5,0.9,6,14,15,21.0,22.0,C06C3.1b,WBGene00003196,Molecule name for WBGene00003196(mel-11). History: N.A.
W06H8.1d,chrV,+,6208823,6217631,-2.8,0.0,-8.5,0.9,6,14,15,23.0,21.0,W06H8.1d,WBGene00004373,Molecule name for WBGene00004373(rme-1). History: N.A.
Y24D9A.1b,chrIV,+,4408599,4414672,-2.8,0.0,-8.5,0.9,6,14,15,21.0,21.0,Y24D9A.1b,WBGene00021281,Molecule name for WBGene00021281(ell-1). History: N.A.
F21A3.6,chrV,-,15543136,15544846,-2.8,0.0,-6.4,1.1,4,9,8,20.0,20.0,F21A3.6,WBGene00008996,Sequence name for WBGene00008996(glb-14). History: N.A.
C29H12.5,chrII,-,6110551,6113343,-2.8,0.0,-6.4,1.1,4,9,8,22.0,21.0,C29H12.5,WBGene00016236,Sequence name for WBGene00016236(heri-1). History: Renamed on 2018-06-11
Y110A7A.21,chrI,-,5110078,5111157,-2.8,0.0,-6.4,1.1,4,9,8,20.0,19.0,Y110A7A.21,WBGene00045212,Public name for WBGene00045212. History: N.A.
D1007.7,chrI,-,4597941,4602667,-2.8,0.0,-6.4,1.1,4,9,8,20.0,21.0,D1007.7,WBGene00017004,Sequence name for WBGene00017004(nrd-1). History: N.A.
F35G12.3a,chrIII,-,4571720,4578404,-2.8,0.0,-6.4,1.1,4,9,8,19.0,21.0,F35G12.3a,WBGene00004762,Molecule name for WBGene00004762(sel-5). History: N.A.
Y6D1A.1,chrII,-,11820501,11823535,-2.8,0.0,-6.4,1.1,7,16,15,20.0,21.0,Y6D1A.1,WBGene00012395,Public name for WBGene00012395. History: N.A.
T19E10.1a,chrII,-,10778322,10783211,-2.8,0.0,-6.4,1.1,7,16,15,20.0,21.0,T19E10.1a,WBGene00002297,Molecule name for WBGene00002297(ect-2). History: Renamed on 2005-09-28
T08G11.1b,chrI,-,8905632,8916797,-2.8,0.0,-6.4,1.1,7,16,15,20.0,21.0,T08G11.1b,WBGene00011629,Molecule name for WBGene00011629(T08G11.1). History: N.A.
Y59A8A.2,chrV,+,17871373,17879873,-2.7,0.0,-8.4,1.0,3,7,7,19.0,21.0,Y59A8A.2,WBGene00013339,Sequence name for WBGene00013339(phf-14). History: N.A.
C48A7.2,chrIV,+,7393205,7397542,-2.7,0.0,-8.4,1.0,3,7,7,22.0,22.0,C48A7.2,WBGene00016739,Sequence name for WBGene00016739(pitr-1). History: Renamed on 2016-08-03
F56D12.6b,chrII,+,1310541,1320431,-2.7,0.0,-8.4,1.0,3,7,7,20.0,21.0,F56D12.6b,WBGene00018974,Molecule name for WBGene00018974(fcho-1). History: N.A.
C18H2.1,chrIII,+,7662356,7672081,-2.6,0.0,-8.4,0.9,8,18,21,19.0,21.0,C18H2.1,WBGene00015988,"Sequence name for WBGene00015988(lido-18). History: Split into C18H2.8(WBGene00305979), C18H2.9(WBGene00305980). History of WBGene00015988: Split into ""WBGene00305979"" on 2020-01-20; Split into ""WBGene00305980"" on 2020-01-20"
C08B11.3,chrII,-,8022565,8027687,-2.6,0.0,-6.3,1.0,6,14,13,21.0,22.0,C08B11.3,WBGene00007433,Sequence name for WBGene00007433(swsn-7). History: N.A.
M02B7.3a,chrIV,-,3796331,3800456,-2.6,0.0,-6.3,1.0,6,14,13,20.0,21.0,M02B7.3a,WBGene00003884,Molecule name for WBGene00003884(osm-3). History: N.A.
Y41E3.16,chrIV,+,15040035,15042353,-2.6,0.0,-8.4,0.9,4,9,10,20.0,22.0,Y41E3.16,WBGene00012769,"Public name for Dead gene WBGene00012774. History of WBGene00012774: Merged into ""WBGene00012769"" on 2009-01-09"
F54E4.1,chrX,+,14610798,14624771,-2.6,0.0,-8.4,0.9,4,9,10,20.0,22.0,F54E4.1,WBGene00004313,Sequence name for WBGene00004313(rbc-1). History: N.A.
Y43F4B.4,chrIII,+,13296733,13298817,-2.6,0.0,-8.4,0.9,4,9,10,21.0,21.0,Y43F4B.4,WBGene00003804,Sequence name for WBGene00003804(npp-18). History: N.A.
C01G5.8,chrIV,+,6548898,6552484,-2.6,0.0,-8.4,0.9,4,9,10,21.0,21.0,C01G5.8,WBGene00015310,Sequence name for WBGene00015310(fan-1). History: N.A.
R12B2.4,chrIII,+,5803211,5805053,-2.6,0.0,-8.4,0.9,4,9,10,19.0,22.0,R12B2.4,WBGene00001869,Sequence name for WBGene00001869(him-10). History: N.A.
R13F6.10,chrIII,-,6865159,6869359,-2.6,0.0,0.0,1.1,3,7,6,19.0,21.0,R13F6.10,WBGene00020068,Sequence name for WBGene00020068(cra-1). History: N.A.
C56E6.3b,chrII,-,6517140,6519795,-2.6,0.0,0.0,1.1,3,7,6,21.0,21.0,C56E6.3b,WBGene00016971,Molecule name for WBGene00016971(toe-2). History: N.A.
C32F10.5,chrI,-,5815676,5818128,-2.6,0.0,0.0,1.1,3,7,6,19.0,21.0,C32F10.5,WBGene00001973,Sequence name for WBGene00001973(hmg-3). History: N.A.
K03H6.5,chrIV,-,1527219,1536396,-2.6,0.0,0.0,1.1,3,7,6,19.0,22.0,K03H6.5,WBGene00019370,Public name for WBGene00019370. History: N.A.
C03D6.4,chrI,-,9660169,9664903,-2.5,0.0,-6.2,1.0,8,18,18,20.0,21.0,C03D6.4,WBGene00003800,Sequence name for WBGene00003800(npp-14). History: N.A.
W04C9.5,chrI,-,462660,467134,-2.5,0.0,-6.2,1.0,8,18,18,20.0,21.0,W04C9.5,WBGene00021027,Public name for WBGene00021027. History: N.A.
Y4C6B.1,chrIV,+,5354477,5356531,-2.5,0.0,-8.3,0.8,10,23,27,20.0,22.0,Y4C6B.1,WBGene00021155,Public name for WBGene00021155. History: N.A.
Y53C10A.12,chrI,-,11953502,11961976,-2.5,0.0,-6.2,1.0,5,11,11,26.0,19.0,Y53C10A.12,WBGene00002004,Sequence name for WBGene00002004(hsf-1). History: N.A.
Y43C5A.1,chrIV,-,10268853,10269199,-2.5,0.0,-6.2,1.0,5,11,11,21.0,21.0,Y43C5A.1,WBGene00012781,Sequence name for WBGene00012781(nspd-7). History: N.A.
F08B4.5,chrIV,-,8682471,8686593,-2.5,0.0,-6.2,1.0,5,11,11,21.0,21.0,F08B4.5,WBGene00017237,Sequence name for WBGene00017237(pole-2). History: N.A.
C04G6.5,chrII,-,5083837,5091620,-2.5,0.0,-6.2,1.0,5,11,11,20.0,20.0,C04G6.5,WBGene00015455,Sequence name for WBGene00015455(txt-9). History: N.A.
C37F5.1,chrIV,-,2275863,2300350,-2.5,0.0,-6.2,1.0,5,11,11,23.0,21.0,C37F5.1,WBGene00002990,Sequence name for WBGene00002990(lin-1). History: Renamed on 2011-11-08
F26A1.3,chrIII,+,4826872,4828884,-2.4,0.0,-8.2,0.9,6,14,16,20.0,22.0,F26A1.3,WBGene00017802,Public name for WBGene00017802. History: N.A.
K01G5.4,chrIII,-,10746465,10747612,-2.4,0.0,-6.1,1.0,7,16,16,20.0,21.0,K01G5.4,WBGene00004302,Sequence name for WBGene00004302(ran-1). History: N.A.
Y105E8A.1,chrI,-,14341620,14343792,-2.3,0.0,0.0,1.1,2,5,4,21.0,19.0,Y105E8A.1,WBGene00013666,Public name for WBGene00013666. History: N.A.
ZC376.5,chrV,-,14183103,14185602,-2.3,0.0,0.0,1.1,2,5,4,21.0,21.0,ZC376.5,WBGene00006613,Sequence name for WBGene00006613(trm-1). History: N.A.
T27E9.6,chrIII,-,13475286,13475987,-2.3,0.0,0.0,1.1,2,5,4,20.0,20.0,T27E9.6,WBGene00012096,Public name for WBGene00012096. History: N.A.
C03D6.8,chrI,-,9668620,9670705,-2.3,0.0,0.0,1.1,2,5,4,19.0,19.0,C03D6.8,WBGene00004437,Sequence name for WBGene00004437(rpl-24.2). History: N.A.
