cosmid,gene,fL3mSUM,eL3mSUM,fL4mSUM,eL4mSUM,fADmSUM,eADmSUM,description,KOG,Mountain,fL4s660,eL4s408,FC,fL4s1165,eL4s377,FC.1,fADs1711,eADs2131,FC.2,fADs226,eADs271,FC.3,fADs547,eADs598,FC.4,fL4m1857,eL4m1318,FC.5,fL4m3713,eL4m3494,FC.6,fADm2498,eADm2449,FC.7,fADm2040,eADm2527,FC.8,fADm981,eADm599,FC.9,fADm631,eADm765,FC.10,Input,Suggested Match,History
T08A11.1,T08A11.1,205,61,351,241,561,769,,"Uncharacterized conserved protein, contains DEP domain ",Mountain 2,112,21,3.24,250,7,10.55,356,38,11.37,33,3,10.04,59,7,8.16,86,48,1.27,265,193,1.29,248,295,0.82,206,308,0.83,64,80,0.5,43,86,0.61,T08A11.1,WBGene00011604,Public name for WBGene00011604. History: N.A.
T10B5.3,T10B5.3,513,258,465,537,1096,964,,WD40 repeat-containing protein ,Mountain ,107,8,7.57,359,6,17.29,182,6,32.47,40,0,48.44,108,5,19.77,185,118,1.11,280,419,0.63,474,361,1.29,351,365,1.19,184,103,1.1,87,135,0.78,T10B5.3,WBGene00020389,Public name for WBGene00020389. History: N.A.
T12E12.2,T12E12.2,126,149,279,865,874,2601,,Heterochromatin-associated protein HP1 and related CHROMO domain proteins ,Mountain 2,541,25,13.16,933,20,14.95,949,25,45.38,14,2,5.91,254,4,55.51,112,181,0.44,167,684,0.23,392,1143,0.34,340,1111,0.38,85,145,0.36,57,202,0.34,T12E12.2,WBGene00020463,Sequence name for WBGene00020463(cec-6). History: N.A.
T12E12.3,T12E12.3,80,42,133,602,363,2286,,Unnamed protein ,Mountain 2,588,56,6.52,1187,45,8.68,1932,14,160.05,372,43,10.02,731,3,199.17,50,106,0.34,83,496,0.16,165,875,0.19,128,948,0.17,40,250,0.1,30,213,0.17,T12E12.3,WBGene00020464,Sequence name for WBGene00020464(tebp-2). History: Renamed on 2021-04-19
T15H9.2,T15H9.2,47,6,71,137,562,643,,,Mountain 7,29,0,18.93,33,0,11.43,29,0,37.26,15,2,6.3,17,0,19.59,26,22,0.84,45,115,0.37,254,223,1.12,204,247,1.02,70,110,0.4,34,63,0.66,T15H9.2,WBGene00011788,Sequence name for WBGene00011788(hal-3). History: N.A.
T17A3.2,T17A3.2,52,0,39,18,18,19,,Uncharacterized protein ,Mountain 2,114,15,4.54,244,6,11.77,436,14,36.18,13,0,16.54,46,0,51.15,13,4,2.0,26,14,1.69,9,6,1.4,5,8,0.82,3,2,0.82,1,3,0.6,T17A3.2,WBGene00020540,Sequence name for WBGene00020540(pals-25). History: N.A.
T19H12.2,T19H12.2,188,72,363,855,6085,6358,,Leucine-rich acidic nuclear protein ,Mountain 7,204,19,6.47,572,14,12.84,338,0,421.02,34,2,13.78,230,0,251.41,191,150,0.91,172,705,0.23,2709,2294,1.16,2137,2261,1.17,742,826,0.56,497,977,0.61,T19H12.2,WBGene00020588,Public name for WBGene00020588. History: N.A.
T20D3.11,T20D3.11,385,116,711,546,331,2061,,,Mountain ,332,19,10.51,682,39,5.74,1156,8,159.66,227,20,12.83,304,5,55.32,210,180,0.83,501,366,1.29,133,861,0.15,96,919,0.13,56,105,0.33,46,176,0.32,T20D3.11,WBGene00007505,"Public name for Dead gene WBGene00011862. History of WBGene00011862: Merged into ""WBGene00007505"" on 2014-05-28"
T22B11.5,T22B11.5,2615,1370,3058,2399,1868,2461,"The T22B11.5 gene encodes an ortholog of the human gene OGDH, which when mutated leads to alpha-ketoglutarate deficiency (<a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=203740"">OMIM:203740</a>); the T22B11.5 protein is predicted to be mitochondrial with 68% accuracy. ","2-oxoglutarate dehydrogenase, E1 subunit ",Mountain 27,66,8,4.7,221,2,24.88,103,4,25.83,48,1,28.95,45,6,7.15,1018,739,0.98,2040,1660,1.16,736,1001,0.72,627,1065,0.73,325,183,1.1,180,212,1.03,T22B11.5,WBGene00020679,Sequence name for WBGene00020679(ogdh-1). History: N.A.
T22F3.2b,T22F3.2,45,33,98,72,182,318,,Ubiquitin carboxyl-terminal hydrolase ,Mountain 5,82,7,6.55,164,0,55.48,84,0,105.57,12,1,7.68,43,5,7.98,39,17,1.58,59,55,1.01,69,123,0.55,52,152,0.43,32,25,0.78,29,18,1.91,T22F3.2b,WBGene00020695,Molecule name for WBGene00020695(T22F3.2). History: N.A.
T23B5.3a,T23B5.3,252,34,275,183,607,686,,,Mountain 5,99,6,9.02,222,2,24.99,144,0,180.08,103,1,61.44,64,0,70.74,90,50,1.27,185,133,1.31,234,238,0.96,177,273,0.8,124,65,1.17,72,110,0.79,T23B5.3a,WBGene00011940,Molecule name for WBGene00011940(T23B5.3). History: N.A.
T23D8.3,T23D8.3,1041,308,1132,686,1596,1291,"T23D8.3 encodes an ortholog of yeast and human LTV1 that inhibits DHC-1 in vivo; in mass RNAi assays, T23D8.3 is required for embryonic and larval development, normally large brood sizes, and normally fast growth. ",Uncharacterized conserved protein ,Mountain 2,81,6,7.39,201,1,33.96,159,0,198.71,72,0,86.25,49,0,54.42,324,135,1.7,808,551,1.38,549,450,1.2,456,492,1.15,387,119,2.0,204,230,1.07,T23D8.3,WBGene00011944,Public name for WBGene00011944. History: N.A.
T23D8.7,T23D8.7,20,10,137,107,696,672,,,Mountain 2,36,2,7.78,128,2,14.46,110,2,45.95,11,0,14.18,27,0,30.47,20,23,0.62,117,84,1.31,289,301,0.94,266,278,1.18,77,43,1.1,64,50,1.54,T23D8.7,WBGene00011945,Sequence name for WBGene00011945(alg-5). History: N.A.
T23G4.3,T23G4.3,7,14,80,100,411,243,,Unnamed protein ,Mountain 13,80,4,10.22,103,4,6.99,117,0,146.55,29,1,17.72,47,3,13.06,34,9,2.5,46,91,0.48,172,96,1.75,136,89,1.88,73,23,1.91,30,35,1.04,T23G4.3,WBGene00011959,Sequence name for WBGene00011959(nyn-1). History: N.A.
T26A5.5a,T26A5.5,422,179,642,928,1704,2485,,"F-box protein JEMMA and related proteins with JmjC, PHD, F-box and LRR domains ",Mountain 2,289,14,12.2,624,6,30.02,396,15,30.82,19,2,7.88,137,1,75.1,135,183,0.53,507,745,0.64,617,972,0.62,581,996,0.72,376,180,1.29,130,337,0.47,T26A5.5a,WBGene00020821,Molecule name for WBGene00020821(jhdm-1). History: N.A.
T27A3.2,T27A3.2,349,59,392,252,771,913,,Ubiquitin-specific protease UBP14 ,Mountain 5,51,3,8.2,102,6,4.95,152,3,47.5,16,3,5.02,58,0,64.21,79,70,0.8,313,182,1.62,310,338,0.9,242,406,0.74,121,73,1.02,98,96,1.23,T27A3.2,WBGene00020839,Sequence name for WBGene00020839(usp-5). History: N.A.
T28A8.4,T28A8.4,17,43,156,114,445,519,,Uncharacterized protein ,Mountain 2,65,5,6.94,188,3,15.89,85,4,21.36,26,4,6.38,21,4,4.79,68,26,1.82,88,88,0.94,173,197,0.86,136,210,0.8,90,55,1.01,46,57,0.98,T28A8.4,WBGene00012110,Public name for WBGene00012110. History: N.A.
T28A8.5,T28A8.5,5,2,50,16,92,157,,,Mountain 2,70,10,4.07,271,18,4.81,172,31,6.71,39,12,3.64,54,13,4.28,6,6,0.71,44,10,3.85,32,67,0.48,29,70,0.52,22,9,1.42,9,11,1.01,T28A8.5,WBGene00012111,"Public name for WBGene00012111. History: Split into T28A8.8(WBGene00194852). History of WBGene00012111: Split into ""WBGene00194852"" on 2009-11-04"
T28D9.4b,T28D9.4,0,3,5,12,48,90,,,Mountain 3,53,7,4.26,146,4,9.89,312,45,8.45,180,28,7.37,86,7,11.84,0,9,0.07,5,3,1.41,11,36,0.32,22,40,0.69,8,3,1.39,7,11,0.8,T28D9.4b,WBGene00020896,"Molecule name for WBGene00020896(T28D9.4). History: Split into T28D9.16(WBGene00270303). History of WBGene00020896: Split into ""WBGene00270303"" on 2016-07-01"
Y37E11B.4,taf-2,138,23,120,134,238,468,"taf-2 encodes a member of the peptidase M1 family, a predicted aminopeptidase with similarity to human TBP-associated factor 2. ",TATA binding protein associated factor ,Mountain 2,94,11,5.0,111,4,7.53,423,7,65.82,24,1,14.77,61,2,22.49,41,32,0.91,79,102,0.73,97,208,0.46,91,194,0.58,30,26,0.71,20,40,0.62,Y37E11B.4,WBGene00006383,Sequence name for WBGene00006383(taf-2). History: N.A.
ZK1128.5,tag-246,71,20,114,55,176,367,"ZK1128.5/tag-246 encodes an ortholog of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D (SMARCD) proteins; ZK1128.5/TAG-246 is required for full levels of LIN-3/EGF signalling during vulval development, though this effect is only visible in genetically sensitized backgrounds. ",SWI/SNF transcription activation complex subunit ,Mountain 5,48,7,3.87,86,2,9.75,156,11,16.25,133,13,11.31,78,10,7.82,29,15,1.34,85,40,1.97,65,139,0.46,70,154,0.57,27,45,0.38,14,29,0.6,ZK1128.5,WBGene00044072,"Sequence name for WBGene00044072(ham-3). History: Renamed on 2011-02-11; Renamed on 2012-07-20. Public name for Dead gene WBGene00014231. History of WBGene00014231: Merged into ""WBGene00044072"" on 2006-06-29"
C48G7.3a,tag-333,372,136,553,643,1389,2847,,,Mountain 20,49,7,3.94,117,5,6.61,91,2,38.09,10,0,13.0,53,2,19.59,208,148,1.0,345,495,0.66,581,1028,0.55,539,1071,0.62,171,349,0.3,98,399,0.3,C48G7.3a,WBGene00008183,Molecule name for WBGene00008183(rin-1). History: Renamed on 2012-09-25
C47B2.3,tba-2,5220,1223,3306,4112,11343,6166,tba-2 encodes an alpha-tubulin. ,Alpha tubulin ,Mountain 20,66,12,3.25,145,6,7.01,95,7,14.9,60,3,18.02,40,0,44.62,1298,1007,0.92,2008,3105,0.61,4960,2411,2.02,4023,2310,2.15,1577,570,1.71,783,875,1.08,C47B2.3,WBGene00006529,Sequence name for WBGene00006529(tba-2). History: N.A.
F25H2.11,tct-1,8013,2773,6174,6677,6780,7414,,Microtubule-binding protein (translationally controlled tumor protein) ,Mountain 2,94,1,29.98,161,0,54.47,62,2,26.08,18,0,22.45,35,0,39.18,2023,2123,0.68,4151,4554,0.86,2588,2791,0.91,2254,2814,0.99,1123,1047,0.66,815,762,1.29,F25H2.11,WBGene00009122,Sequence name for WBGene00009122(tct-1). History: N.A.
Y63D3A.5,tfg-1,941,369,303,589,432,495,, ,Mountain 5,126,14,5.34,181,11,5.1,161,13,14.37,81,11,8.07,84,6,13.22,156,197,0.57,147,392,0.35,205,208,0.97,162,193,1.04,28,35,0.5,37,59,0.76,Y63D3A.5,WBGene00006565,Sequence name for WBGene00006565(tfg-1). History: N.A.
T02H6.2,thoc-1,140,84,178,175,386,428,,Nuclear matrix protein ,Mountain 5,39,6,3.61,100,3,8.49,85,8,11.87,14,0,17.72,38,0,42.45,48,27,1.25,130,148,0.83,173,175,0.97,135,179,0.93,42,23,1.11,36,51,0.86,T02H6.2,WBGene00020172,Sequence name for WBGene00020172(thoc-1). History: N.A.
F39G3.8,tig-2,30,15,51,30,13,24,"tig-2 (like dbl-1, daf-7, and unc-129) encodes a TGF-beta-like protein. ","Transforming growth factor beta, bone morphogenetic protein and related proteins ",Mountain 6,65,234,0.18,91,513,0.06,425,4997,0.11,49,470,0.13,95,694,0.15,10,9,0.78,41,21,1.8,7,14,0.52,4,7,0.77,1,3,0.31,1,0,2.41,F39G3.8,WBGene00006570,Sequence name for WBGene00006570(tig-2). History: N.A.
K12D12.1,top-2,1891,799,2002,3395,8899,8650,,DNA topoisomerase type II ,,649,79,5.13,1228,113,3.62,1448,547,3.28,193,48,4.68,716,219,3.55,805,697,0.82,1197,2698,0.42,3766,3181,1.16,3056,3195,1.18,1468,1144,0.79,609,1130,0.65,K12D12.1,WBGene00010785,Sequence name for WBGene00010785(top-2). History: Renamed on 2015-07-16
Y39G10AR.12b,tpxl-1,70,68,124,210,1060,1700,"tpxl-1 encodes a protein that contains an N-terminal Aurora A kinase binding domain similar to that of Xenopus laevis TPX2; during mitosis, TPXL-1 activity is required for activation and localization of the AIR-1 Aurora A kinase to mitotic spindles, and thus for proper mitotic spindle assembly; TPXL-1 physically interacts with AIR-1 in vitro and colocalizes with AIR-1 at the centrosome, particularly the outer centrosomal layer, and along microtubules extended outward from the centrosome. ",,Mountain 0,63,6,5.77,140,0,47.41,119,0,149.03,39,9,4.73,54,6,8.55,34,39,0.62,90,171,0.5,433,665,0.64,311,689,0.56,230,127,1.12,86,219,0.48,Y39G10AR.12b,WBGene00021470,Molecule name for WBGene00021470(tpxl-1). History: N.A.
Y71A12B.4,trp-4,20,9,13,8,19,10,,,,441,70,3.93,888,78,3.78,984,171,7.11,293,89,3.86,493,59,8.96,5,2,1.43,8,6,1.21,6,7,0.86,9,3,3.09,3,0,2.47,1,0,2.41,Y71A12B.4,WBGene00006616,Sequence name for WBGene00006616(trp-4). History: N.A.
C47D12.1a,trr-1,613,278,637,444,1251,1551,"trr-1 encodes proteins with similarity to the atypical protein kinases of the TRAAP subfamily of PIKK kinases that are found in multisubunit, chromatin-modifying histone acetyltransferase complexes; trr-1 functions as a negative regulator of let-60/Ras signaling and was initially identified in screens for synMuv genes that interact with lin-15A; trr-1 mutations were subsequently found to have weakly penetrant vulval defects on their own, as well as slow growth and sterile phenotypes; trr-1 is classified as a class C synMuv gene, as it interacts genetically with both class A and class B synMuv mutations; TRR-1 is a nuclear protein that is broadly expressed throughout development; in germ cell nuclei and cellularized oocytes, TRR-1 localizes to condensed chromosomes. ", ,Mountain 13,193,30,3.95,445,24,6.0,404,25,19.35,30,2,12.21,151,9,16.54,167,110,1.08,470,334,1.32,548,609,0.88,479,692,0.86,130,117,0.69,94,133,0.86,C47D12.1a,WBGene00007028,Molecule name for WBGene00007028(trr-1). History: N.A.
F10G7.2,tsn-1,4673,967,3539,3054,3592,3655,tsn-1 encodes the C. elegans ortholog of Tudor-SN (tudor staphylococcal nuclease); TSN-1 is a component of the RNA-induced silencing complex (RISC) and its activity is required for proper function of the let-7 miRNA in vivo; TSN-1 is found in both the nucleus and the cytosol. ,Transcriptional coactivator p100 ,Mountain 5,50,6,4.6,170,7,7.19,154,7,24.06,38,12,3.54,53,3,14.69,1120,967,0.83,2419,2087,1.09,1487,1400,1.04,1168,1436,1.01,587,296,1.22,350,523,0.81,F10G7.2,WBGene00006626,Sequence name for WBGene00006626(tsn-1). History: N.A.
F53G2.6,tsr-1,68,40,79,94,130,269,"tsr-1 encodes a homolog of human transportin-SR, a nuclear transport receptor, and affects embryonic viability. ",Nuclear transport regulator ,Mountain 2,75,12,3.69,139,5,7.85,245,6,43.65,12,0,15.36,74,0,81.63,10,37,0.21,69,57,1.14,54,117,0.46,48,119,0.5,15,10,0.9,13,23,0.7,F53G2.6,WBGene00006647,Sequence name for WBGene00006647(tsr-1). History: N.A.
W03F9.5,ttb-1,61,13,73,69,220,403,,Transcription initiation factor TFIIB ,Mountain 11,32,1,10.41,136,10,4.19,60,3,18.94,11,0,14.18,18,3,5.17,25,20,0.88,48,49,0.92,90,174,0.51,81,165,0.61,24,44,0.34,25,20,1.49,W03F9.5,WBGene00006648,Sequence name for WBGene00006648(ttb-1). History: N.A.
W06H8.8e,ttn-1,20531,19028,17016,18709,2411,4355,"ttn-1, through multiple splicing, encodes at least six protein isoforms that are orthologs of titin (<a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=188840"">OMIM:188840</a>, mutated in cardiomyopathy or tibial muscular dystrophy), with the three largest isoforms being 2.2 MDa, 1.2 MDa and 301 kDa; TTN-1 isoforms are expressed in body wall and vulval muscle, localized to the centers of I-bands, with the two largest isoforms expressed in all muscles except pharyngeal; the largest TTN-1 isoform contains 56 Ig domains, 11 FnIII domains, a twitchin-like protein kinase domain, a domain similar to the elastic PEVK domain of vertebrate titin, 96 tandem copies of a 16-residue motif predicted to comprise a coiled-coil domain, and two other short multiply repeated motifs; the TTN-1 kinase domain is catalytically active, and its activity is quantitatively regulated by alternative splicing of an adjacent autoinhibitory domain; TTN-1 is mislocalized in an alpha-actinin mutant (atn-1[ok84]); ttn-1 is transcribed from at least two promoters, and its transcription is stimulated by NFI-1. ", ,Mountain 1,2613,170,9.65,1948,55,11.7,1054,39,32.76,19,1,11.81,162,0,177.4,4195,7495,0.4,12821,11214,1.08,517,1125,0.45,545,1162,0.58,1079,1231,0.54,270,837,0.39,W06H8.8e,WBGene00006436,Molecule name for WBGene00006436(ttn-1). History: Renamed on 2005-12-13
Y54G2A.31,ubc-13,363,53,229,144,340,451,"ubc-13 encodes an E2 ubiquitin-conjugating enzyme; by homology, UBC-13 is predicted to function in the covalent attachment of ubiquitin molecules to protein substrates, via its association with an E3 ubiquitin-protein ligase; in large-scale RNAi screens, loss of ubc-13 activity resulted in embryonic lethality and reduced brood size. ",Ubiquitin-protein ligase ,,35,0,22.72,87,4,5.92,88,7,13.82,17,1,10.63,28,1,15.78,75,43,1.23,154,101,1.43,117,171,0.67,106,190,0.69,66,38,1.06,51,52,1.18,Y54G2A.31,WBGene00006708,Sequence name for WBGene00006708(ubc-13). History: N.A.
F29B9.6,ubc-9,339,142,343,316,1129,1508,"ubc-9 encodes an E2 ubiquitin-conjugating enzyme orthologous to Saccharomyces cerevisiae Ubc9p, which mediates the covalent attachment of the small ubiquitin-related modifier (SUMO) to various substrates including Ran-GAP1 and p53; UBC-9 activity is required for several developmental processes including embryogenesis, larval development, vulval development, posterior morphogenesis, and the DNA damage response (both DNA repair and DNA damage checkpoint function); UBC-9 interacts with LIN-1, an ETS-domain-containing transcription factor that negatively regulates vulval development, and with RAD-51, the C. elegans RecA homolog that is required for DNA repair; the expression pattern and subcellular localization of UBC-9 are not yet known. ",Ubiquitin-protein ligase ,Mountain 18,68,1,21.77,307,2,34.52,127,3,39.74,55,4,13.23,12,0,14.15,73,82,0.64,270,234,1.09,426,631,0.66,343,634,0.67,217,115,1.16,143,128,1.35,F29B9.6,WBGene00006706,Sequence name for WBGene00006706(ubc-9). History: N.A.
F56D2.1,ucr-1,2458,866,2561,1850,1463,1964,,"Mitochondrial processing peptidase, beta subunit, and related enzymes (insulinase superfamily) ",Mountain ,60,2,12.83,134,8,5.04,88,4,22.11,20,1,12.41,50,5,9.25,898,672,0.95,1663,1178,1.33,624,841,0.73,499,797,0.77,163,179,0.56,177,147,1.45,F56D2.1,WBGene00018963,Sequence name for WBGene00018963(ucr-1). History: N.A.
T05H10.5c,ufd-2,1664,486,2383,1378,2071,2638,"ufd-2 encodes an E4 ubiquitin conjugation factor orthologous to Saccharomyces cerevisiae Ufd2p which catalyzes multiubiquitin chain assembly; during development, UFD-2 acts in a complex with the C. elegans CHIP ortholog CHN-1 and the ubiquitin-selective chaperone CDC-48.1 to ubiquitinate, and thus negatively regulate, the UNC-45 myosin chaperone whose activity is essential for normal sarcomere assembly and motility; in addition, ufd-2 activity is required, along with that of rpn-10, for proper regulation of TRA-2-mediated germline sex determination; a UFD-2::GFP fusion protein is expressed throughout the life cycle in body wall muscle as well as neurons and the hypodermis; in body wall muscle, UFD-2::GFP is found in both the cytoplasm and nucleus. ",Ubiquitin fusion degradation protein-2 ,Mountain 11,78,15,3.12,178,10,5.47,284,8,39.33,19,1,11.81,102,1,56.05,599,416,1.03,1784,962,1.74,805,1056,0.75,731,1125,0.8,275,155,1.09,260,302,1.04,T05H10.5c,WBGene00006734,Molecule name for WBGene00006734(ufd-2). History: N.A.
C08F11.8,ugt-22,203,104,370,126,245,253,,UDP-glucuronosyl and UDP-glucosyl transferase ,Mountain ,10,117,0.06,31,126,0.08,23,244,0.12,2,28,0.12,8,146,0.07,58,49,0.84,312,77,3.78,90,97,0.91,63,101,0.78,57,20,1.71,35,35,1.21,C08F11.8,WBGene00007455,Sequence name for WBGene00007455(ugt-22). History: N.A.
T10F2.3,ulp-1,302,71,366,522,1220,1475,"ulp-1 encodes a SUMO protease; by homology, ULP-1 is predicted to function in removal of SUMO ubiquitin-like molecules from tagged proteins; expression of a chimeric SOP-2::GFP::ULP-1 protein results in aberrant localization of SOP-2, suggesting that: 1) ULP-1 functions in vivo to remove SUMO moieties from SOP-2 and 2) sumoylation is important for SOP-2 localization to nuclear bodies. ","Protease, Ulp1 family ",Mountain 2,109,12,5.34,223,6,10.76,319,11,33.12,94,2,37.41,69,1,38.09,122,83,1.04,244,439,0.52,513,547,0.92,427,580,0.91,178,141,0.78,102,207,0.6,T10F2.3,WBGene00006736,Sequence name for WBGene00006736(ulp-1). History: N.A.
Y38A8.3,ulp-2,106,34,230,184,439,842,,"Protease, Ulp1 family ",Mountain 5,224,10,12.91,389,13,9.37,360,3,112.09,17,0,21.27,114,8,13.91,37,48,0.55,193,136,1.33,184,348,0.52,153,369,0.51,54,62,0.54,48,63,0.92,Y38A8.3,WBGene00006737,Sequence name for WBGene00006737(ulp-2). History: N.A.
K02F2.4,ulp-5,12,8,23,62,48,326,,"Protease, Ulp1 family ",Mountain 7,57,9,3.66,151,2,17.04,113,2,47.19,12,0,15.36,45,0,50.06,0,11,0.06,23,51,0.43,25,151,0.17,11,140,0.11,5,17,0.21,7,18,0.51,K02F2.4,WBGene00006740,Sequence name for WBGene00006740(ulp-5). History: Renamed on 2014-03-28; Renamed on 2014-09-02
W09C5.2,unc-59,116,38,181,133,935,693,"unc-59, by alternative splicing, encodes two septin isoforms required (like the septins UNC-61A/B) for normal axonal migration, distal tip cell migration, and postembryonic cytokinesis (at the cellular level) and for normal locomotion and formation of the postembryonic vulva, somatic gonad, and male tail (at the organismal level); both UNC-59 and UNC-61A/B are dispensable for embryonic cytokinesis and development, but are thought to be required for all postembryonic cytokinesis; UNC-59 and UNC-61A/B depend on each other for localization to the cytokinetic furrow. ",Septin family protein (P-loop GTPase) ,Mountain 7,68,7,5.44,119,5,6.72,226,6,40.27,13,0,16.54,74,3,20.41,50,40,0.89,131,93,1.32,332,235,1.38,309,299,1.28,187,65,1.76,107,94,1.37,W09C5.2,WBGene00006793,Sequence name for WBGene00006793(unc-59). History: N.A.
Y50E8A.4c,unc-61,96,69,191,161,868,1009,"unc-61, by alternative splicing, encodes two septin isoforms required (like the septin UNC-59) for normal axonal migration, distal tip cell migration, and postembryonic cytokinesis (at the cellular level) and for normal locomotion and formation of the postembryonic vulva, somatic gonad, and male tail (at the organismal level); both UNC-61A/B and UNC-59 are dispensable for embryonic cytokinesis and development, but are thought to be required for all postembryonic cytokinesis; UNC-61A/B and UNC-59 depend on each other for localization to the cytokinetic furrow. ", ,Mountain 3,51,4,6.56,79,3,6.72,82,5,17.18,11,0,14.18,28,0,31.56,77,36,1.5,114,125,0.86,352,378,0.91,272,392,0.86,152,90,1.04,92,149,0.75,Y50E8A.4c,WBGene00006795,Molecule name for WBGene00006795(unc-61). History: N.A.
VF13D12L.1,VF13D12L.1,445,197,334,471,840,1098,"VF13D12L.1 encodes the C. elegans myo-inositol-1-phosphate (MIP) synthase ortholog; by homology, the product of VF13D12L.1 is predicted to function in de novo inositol biosynthesis by catalyzing the conversion of glucose-6-phosphate to inositol-1-phosphate; loss of VF13D12L.1 activity via RNAi has been reported to result in low levels of embryonic lethality, larval lethality, slow growth, uncoordinated locomotion, and a substantial increase in fat content; loss of VF13D12L.1 also results in a slight increase in the variability of the defecation cycle length, although this increase is not statistically significant; in situ hybridization studies reveal that VF13D12L.1 mRNA is expressed faintly in the germline. ",Myo-inositol-1-phosphate synthase ,,29,1,9.47,75,5,4.26,51,3,16.15,10,0,13.0,42,0,46.8,124,127,0.7,210,344,0.58,350,429,0.8,293,473,0.77,113,74,0.94,84,122,0.83,VF13D12L.1,WBGene00012148,Sequence name for WBGene00012148(inos-1). History: N.A.
C56C10.3,vps-32.1,597,176,616,539,1055,1170,,Protein involved in glucose derepression and pre-vacuolar endosome protein sorting ,Mountain 1,105,9,6.69,302,3,25.47,122,11,12.73,39,8,5.25,22,1,12.52,163,117,0.99,453,422,1.01,438,475,0.9,379,465,1.01,126,87,0.89,112,143,0.95,C56C10.3,WBGene00016961,Sequence name for WBGene00016961(vps-32.1). History: Renamed on 2007-06-04
Y87G2A.5,vrs-2,1679,523,1203,1284,1907,1820,"vrs-2 encodes a predicted cytoplasmic valyl-tRNA synthetase (ValRS), a class I aminoacyl-tRNA synthetase that catalyzes the attachment of valine to its cognate tRNA and is thus required for protein biosynthesis; in C. elegans, VRS-2 activity is required for embryonic and germline development. ",Valyl-tRNA synthetase ,Mountain 2,109,10,6.31,267,9,9.01,288,5,59.82,51,3,15.36,47,7,6.53,362,239,1.08,841,1045,0.76,840,749,1.1,732,717,1.26,186,158,0.73,149,196,0.92,Y87G2A.5,WBGene00006936,Sequence name for WBGene00006936(glp-4). History: Renamed on 2010-01-29; Renamed on 2015-10-07
W02D9.10,W02D9.10,35,14,28,73,35,29,,Unnamed protein ,Mountain 15,88,4,11.23,241,3,20.34,173,5,36.02,116,6,19.75,85,9,9.36,10,14,0.52,18,59,0.3,15,19,0.78,15,8,2.2,2,1,0.93,3,1,2.41,W02D9.10,WBGene00012216,Public name for WBGene00012216. History: N.A.
B0336.1,wrm-1,50,28,123,153,499,1398,"wrm-1 encodes, along with bar-1 and hmp-2, one of three C. elegans beta-catenin-like proteins; during development, wrm-1 functions in noncanonical Wnt signaling pathways that specify cell fates in the early embryo, the somatic gonad, and postembryonic hypodermal lineages. ",,Mountain 11,115,22,3.18,244,14,5.49,267,34,9.51,27,4,6.62,144,11,13.15,38,41,0.66,85,112,0.72,198,528,0.37,174,566,0.38,73,149,0.31,54,155,0.43,B0336.1,WBGene00006943,Sequence name for WBGene00006943(wrm-1). History: N.A.
F18C5.2,wrn-1,66,50,158,92,359,461,"wrn-1 encodes an ortholog of human WRN, which when mutated leads to Werner syndrome (<a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=277700"">OMIM:277700</a>), and one of four C. elegans homologs of the RecQ DNA helicase family that includes E. coli RecQ; by homology, WRN-1 is predicted to function as a helicase, DNA-dependent ATPase, and exonuclease that plays a key role in DNA replication, recombination, and repair; RNA interference studies in C. elegans and the enhancement of many of the resulting phenotypes by ionizing radiation indicate that wrn-1 affects life span and aging and acts at a DNA damage checkpoint; the wrn-1 phenotypes such as premature aging are similar to those of Werner syndrome; immunolocalization studies indicate that WRN-1 expression is nuclear in cells at the embryonic, larval and adult stages. ",ATP-dependent DNA helicase ,Mountain 2,52,4,6.69,60,3,5.13,135,18,8.89,16,0,20.08,42,1,23.4,36,23,1.1,122,69,1.65,129,152,0.83,88,199,0.55,90,41,1.34,52,69,0.91,F18C5.2,WBGene00006944,Sequence name for WBGene00006944(wrn-1). History: N.A.
