# Table S3. Peptide counts for proteins identified by MudPIT analyses of GFP IP from N2 and gfp::rde-8 lysates. Related to Figure 3
Accession,Peptide counts in N2,Peptide counts in GFP::RDE-8(+),Description,Input,Suggested Match,History
F13D12.4b,4.0,4.0,CE36262 WBGene00000114 locus:alh-8 status:Confirmed TR:Q7JMI1 protein_id:CAF31502.1,F13D12.4b,WBGene00000114,Molecule name for WBGene00000114(alh-8). History: N.A.
F18H3.3a,7.0,7.0,CE02193 WBGene00003903 locus:pab-2 poly-adenylate binding protein status:Confirmed TR:Q19579 protein_id:CAA90444.1,F18H3.3a,WBGene00003903,Molecule name for WBGene00003903(pab-2). History: N.A.
M106.4b,3.0,3.0,CE35897 WBGene00010912 status:Partially_confirmed TR:Q7JMN1 protein_id:CAE48508.1,M106.4b,WBGene00010912,Molecule name for WBGene00010912(gmps-1). History: N.A.
W01A8.1a,3.0,3.0,CE18303 WBGene00007024 locus:mdt-28 status:Confirmed TR:Q23095 protein_id:CAA95854.1,W01A8.1a,WBGene00007024,Molecule name for WBGene00007024(plin-1). History: N.A.
T27E9.7,8.0,8.0,CE18971 WBGene00012097 locus:abcf-2 ABC transporters (2 domains) status:Confirmed TR:Q9XTD9 protein_id:CAA21772.1,T27E9.7,WBGene00012097,Sequence name for WBGene00012097(abcf-2). History: N.A.
Y69H2.3a,12.0,12.0,CE32543 WBGene00013481 status:Partially_confirmed TR:Q9U1T6 protein_id:CAB54472.2,Y69H2.3a,WBGene00013481,Molecule name for WBGene00013481(Y69H2.3). History: N.A.
F57H12.1,4.0,4.0,CE17122 WBGene00000183 locus:arf-3 GTP-binding protein status:Confirmed TR:O45099 protein_id:AAC02598.1,F57H12.1,WBGene00000183,Sequence name for WBGene00000183(arf-5). History: Renamed on 2020-09-10
F18A1.5,6.0,6.0,CE04405 WBGene00017546 locus:rpa-1 replication factor A status:Confirmed SW:Q19537 protein_id:AAB63407.1,F18A1.5,WBGene00017546,Sequence name for WBGene00017546(rpa-1). History: N.A.
W08E3.1,3.0,3.0,CE14704 WBGene00004915 locus:snr-2 small nuclear ribonucleoprotein (SNRNP) status:Confirmed SW:P91918 protein_id:CAB07132.1,W08E3.1,WBGene00004915,Sequence name for WBGene00004915(snr-2). History: N.A.
T22D1.9,5.0,5.0,CE17253 WBGene00004458 locus:rpn-1 status:Confirmed TR:Q9GZH5 protein_id:AAF98630.1,T22D1.9,WBGene00004458,Sequence name for WBGene00004458(rpn-1). History: N.A.
W09B6.1b,3.0,3.0,CE36026 WBGene00004076 locus:pod-2 status:Partially_confirmed TR:Q7KQ29 protein_id:AAR12979.1,W09B6.1b,WBGene00004076,Molecule name for WBGene00004076(pod-2). History: N.A.
F22B5.9,9.0,9.0,CE20708 WBGene00001498 locus:frs-2 phenylalanyl-tRNA synthetase status:Confirmed SW:Q19713 protein_id:CAA90360.1,F22B5.9,WBGene00001498,Sequence name for WBGene00001498(fars-3). History: Renamed on 2010-01-29
T02G5.4,3.0,3.0,CE04856 WBGene00020164 acetly-CoA thiolase status:Partially_confirmed TR:Q22106 protein_id:AAA82403.1,T02G5.4,WBGene00020164,Public name for WBGene00020164. History: N.A.
K07C5.1,2.0,2.0,CE06111 WBGene00000200 locus:arx-2 actin status:Confirmed SW:P53489 protein_id:CAA94894.1,K07C5.1,WBGene00000200,Sequence name for WBGene00000200(arx-2). History: N.A.
C15F1.7a,17.0,17.0,CE23550 WBGene00004930 locus:sod-1 superoxide dismutase status:Confirmed,C15F1.7a,WBGene00004930,Molecule name for WBGene00004930(sod-1). History: N.A.
C13B4.2,4.0,4.0,CE15615 WBGene00006856 locus:usp-14 Queuine trna-ribosyltransferase status:Confirmed SW:Q17361 protein_id:CAB05785.1,C13B4.2,WBGene00006856,Sequence name for WBGene00006856(usp-14). History: N.A.
C34F6.8,10.0,10.0,CE15677 WBGene00007942 Isocitrate and isopropylmalate dehydrogenases status:Confirmed TR:O17643 protein_id:CAB03943.1,C34F6.8,WBGene00007942,Sequence name for WBGene00007942(idh-2). History: N.A.
F40G9.3,3.0,3.0,CE19850 WBGene00006715 locus:ubc-20 ubiquitin conjugating enzyme status:Confirmed TR:Q9TZ69 protein_id:AAC68796.1,F40G9.3,WBGene00006715,Sequence name for WBGene00006715(ubc-20). History: N.A.
Y105E8A.19,3.0,3.0,CE33722 WBGene00013677 status:Confirmed TR:Q8WQA5 protein_id:CAD21668.2,Y105E8A.19,WBGene00013677,Sequence name for WBGene00013677(yars-1). History: N.A.
H14A12.2b,12.0,12.0,CE32457 WBGene00001503 locus:fum-1 status:Confirmed TR:Q8ITZ0 protein_id:AAN63405.1,,,
DY3.1,2.0,2.0,CE15745 WBGene00006574 locus:tin-13 status:Confirmed SW:O45319 protein_id:CAB09410.1,DY3.1,WBGene00006574,Sequence name for WBGene00006574(tin-13). History: N.A.
C04F6.1,295.0,289.0,CE03921 WBGene00006929 locus:vit-5 status:Partially_confirmed SW:P06125 protein_id:AAA83587.1,C04F6.1,WBGene00006929,Sequence name for WBGene00006929(vit-5). History: N.A.
K06A5.6,39.0,38.0,CE11776 WBGene00019433 acyl-CoA dehydrogenase status:Confirmed TR:O44549 protein_id:AAK21433.1,K06A5.6,WBGene00019433,Sequence name for WBGene00019433(acdh-3). History: N.A.
F25H5.4,174.0,167.0,CE15900 WBGene00001167 locus:eft-2 Elongation factor Tu family (contains ATP\/GTP binding P-loop) status:Confirmed SW:P29691 protein_id:CAB02985.1,F25H5.4,WBGene00001167,Sequence name for WBGene00001167(eef-2). History: Renamed on 2010-08-03
C17H12.14,23.0,22.0,CE19362 WBGene00006917 locus:vha-8 ATPase status:Confirmed TR:Q95X44 protein_id:AAK67210.1,C17H12.14,WBGene00006917,Sequence name for WBGene00006917(vha-8). History: N.A.
F46H5.3a,125.0,119.0,CE37112 WBGene00018519 arginine kinase status:Confirmed SW:Q10454 protein_id:AAB37022.2,F46H5.3a,WBGene00018519,Molecule name for WBGene00018519(F46H5.3). History: N.A.
D2096.8,20.0,19.0,CE04306 WBGene00017075 status:Confirmed TR:Q19007 protein_id:AAA81494.1,D2096.8,WBGene00017075,Sequence name for WBGene00017075(nap-1). History: Renamed on 2013-01-09
Y106G6H.2a,59.0,56.0,"CE20412 WBGene00003902 locus:pab-1 RNA recognition motif. (aka RRM, RBD, or RNP domain) \; Poly-adenylate binding protein, unique domain. status:Confirmed TR:Q9U302 protein_id:CAA21572.1",,,
F59D8.2,310.0,291.0,CE26817 WBGene00006928 locus:vit-4 status:Partially_confirmed SW:P18947 protein_id:AAK09074.1,F59D8.2,WBGene00006928,Sequence name for WBGene00006928(vit-4). History: N.A.
W10C8.5,13.0,12.0,CE18353 WBGene00021128 ATP transferase status:Confirmed TR:O45011 protein_id:AAK21503.1,W10C8.5,WBGene00021128,Public name for WBGene00021128. History: N.A.
C44B11.3,37.0,34.0,CE24843 WBGene00003175 locus:mec-12 alpha tubulin status:Confirmed TR:P91910 protein_id:AAB54263.2,C44B11.3,WBGene00003175,Sequence name for WBGene00003175(mec-12). History: N.A.
F32B5.1,12.0,11.0,CE28230 WBGene00017975 phosphotransferase status:Partially_confirmed TR:O01854 protein_id:AAB54206.2,F32B5.1,WBGene00017975,Public name for WBGene00017975. History: N.A.
T22B11.5,12.0,11.0,CE28486 WBGene00020679 2-oxoglutarate dehydrogenase status:Confirmed SW:O61199 protein_id:AAB94185.2,T22B11.5,WBGene00020679,Sequence name for WBGene00020679(ogdh-1). History: N.A.
T09F3.3,46.0,42.0,CE02343 WBGene00001683 locus:gpd-1 glyceraldehyde 3-phosphate dehydrogenase 1 status:Confirmed SW:P04970 protein_id:CAA88870.1,T09F3.3,WBGene00001683,Sequence name for WBGene00001683(gpd-1). History: N.A.
F40F4.5,34.0,31.0,CE30131 WBGene00006535 locus:tba-9 tubulin beta chain status:Partially_confirmed TR:Q20221 protein_id:AAA81432.2,F40F4.5,WBGene00006535,Sequence name for WBGene00006535(tba-9). History: N.A.
E04F6.5a,11.0,10.0,CE01217 WBGene00017125 Isovaleryl-CoA dehydrogenase status:Confirmed TR:Q19057 protein_id:AAA68357.1,E04F6.5a,WBGene00017125,Molecule name for WBGene00017125(acdh-12). History: N.A.
C36A4.4,11.0,10.0,CE27831 WBGene00007965 status:Confirmed SW:Q18493 protein_id:CAA91270.2,C36A4.4,WBGene00007965,Public name for WBGene00007965. History: N.A.
F25B4.1,11.0,10.0,CE09620 WBGene00017765 aminomethytransferase status:Confirmed TR:Q22968 protein_id:AAB37080.1,F25B4.1,WBGene00017765,Sequence name for WBGene00017765(gcst-1). History: N.A.
ZK455.1,60.0,54.0,CE03812 WBGene00000040 locus:aco-1 iron-responsive element-binding like protein status:Confirmed SW:Q23500 protein_id:CAA91491.1,ZK455.1,WBGene00000040,Sequence name for WBGene00000040(aco-1). History: N.A.
Y69H2.3d,10.0,9.0,CE32546 WBGene00013481 status:Confirmed TR:Q8I4B8 protein_id:CAD56617.1,Y69H2.3d,WBGene00013481,Molecule name for WBGene00013481(Y69H2.3). History: N.A.
F33H1.2,44.0,39.0,CE01568 WBGene00001686 locus:gpd-4 glyceraldehyde 3-phosphate dehydrogenase 4 status:Confirmed SW:P17331 protein_id:CAA88697.1,F33H1.2,WBGene00001686,Sequence name for WBGene00001686(gpd-4). History: N.A.
C38C3.5b,17.0,15.0,CE31893 WBGene00006794 locus:unc-60 actin depolymerizing factor status:Partially_confirmed SW:Q07750 protein_id:AAL02462.2,,,
T19B10.2,17.0,15.0,CE16413 WBGene00011831 status:Confirmed TR:Q22562 protein_id:CAA98547.1,T19B10.2,WBGene00011831,Public name for WBGene00011831. History: Renamed on 2005-03-17
M03A8.1,8.0,7.0,CE04770 WBGene00000991 locus:dhs-28 alcohol dehydrogenase\; non-specific lipid transfer protein status:Confirmed TR:Q21481 protein_id:AAA83184.1,M03A8.1,WBGene00000991,Sequence name for WBGene00000991(dhs-28). History: N.A.
C27F2.10,8.0,7.0,CE29189 WBGene00016171 status:Confirmed SW:Q95QU0 protein_id:AAL02444.1,C27F2.10,WBGene00016171,Public name for WBGene00016171. History: N.A.
T20G5.1,24.0,21.0,CE00480 WBGene00011867 locus:chc-1 Clathrin heavy chain status:Partially_confirmed SW:P34574 protein_id:CAA83003.1,T20G5.1,WBGene00011867,Sequence name for WBGene00011867(chc-1). History: Renamed on 2008-04-30
C18A11.7a,63.0,55.0,CE27706 WBGene00001000 locus:dim-1 status:Confirmed SW:Q18066 protein_id:AAC69011.2,C18A11.7a,WBGene00001000,Molecule name for WBGene00001000(dim-1). History: N.A.
F25H2.9,7.0,6.0,CE09654 WBGene00003926 locus:pas-5 proteasome zeta chain status:Confirmed SW:Q95008 protein_id:CAB02097.1,F25H2.9,WBGene00003926,Sequence name for WBGene00003926(pas-5). History: Renamed on 2009-01-09
C25F6.3,7.0,6.0,CE38489 WBGene00016103 status:Partially_confirmed SW:Q18164 protein_id:AAK39195.2,C25F6.3,WBGene00016103,Sequence name for WBGene00016103(dpyd-1). History: N.A.
F43G9.9,14.0,12.0,CE10370 WBGene00000777 locus:cpn-1 smooth muscle protein SM22 like status:Confirmed TR:Q93713 protein_id:CAB02104.1,F43G9.9,WBGene00000777,Sequence name for WBGene00000777(cpn-1). History: N.A.
R05D11.3,7.0,6.0,CE06238 WBGene00004305 locus:ran-4 nuclear transport factor 2 like status:Confirmed SW:Q21735 protein_id:CAA99890.1,R05D11.3,WBGene00004305,Sequence name for WBGene00004305(ran-4). History: N.A.
C55B7.1,14.0,12.0,CE09012 WBGene00001599 locus:glh-2 RNA helicase status:Confirmed SW:Q966L9 protein_id:AAK68269.1,C55B7.1,WBGene00001599,Sequence name for WBGene00001599(glh-2). History: N.A.
C26D10.2a,14.0,12.0,CE03025 WBGene00001840 locus:hel-1 translation initiation factor eIF-4A status:Confirmed SW:Q18212 protein_id:CAA91120.1,C26D10.2a,WBGene00001840,Molecule name for WBGene00001840(hel-1). History: N.A.
Y43F4B.5b,7.0,6.0,CE34117 WBGene00012803 status:Confirmed TR:Q86DA0 protein_id:CAD90182.1,Y43F4B.5b,WBGene00012803,Molecule name for WBGene00012803(Y43F4B.5). History: N.A.
C47E8.5,169.0,143.0,CE05441 WBGene00000915 locus:daf-21 heat shock protein (HSP90) status:Confirmed SW:Q18688 protein_id:CAA99793.1,C47E8.5,WBGene00000915,Sequence name for WBGene00000915(hsp-90). History: Renamed on 2017-08-01
F59D8.1,311.0,263.0,CE20900 WBGene00006927 locus:vit-3 status:Partially_confirmed SW:Q9N4J2 protein_id:AAK09075.1,F59D8.1,WBGene00006927,Sequence name for WBGene00006927(vit-3). History: N.A.
Y106G6H.2b,57.0,48.0,CE36227 WBGene00003902 locus:pab-1 status:Partially_confirmed TR:Q7K798 protein_id:CAE54916.1,,,
C07D8.6,25.0,21.0,CE06776 WBGene00015565 aldehyde reductase status:Confirmed TR:P91020 protein_id:AAB37976.1,C07D8.6,WBGene00015565,Public name for WBGene00015565. History: N.A.
F13D12.4a,111.0,93.0,CE02183 WBGene00000114 locus:alh-8 methylmalonate-semialdehyde dehydrogenase status:Confirmed SW:P52713 protein_id:CAA88946.1,F13D12.4a,WBGene00000114,Molecule name for WBGene00000114(alh-8). History: N.A.
Y45G12C.2,30.0,25.0,CE21937 WBGene00001758 locus:gst-10 glutathione S-transferase status:Confirmed SW:Q9N4X8 protein_id:AAF60580.1,Y45G12C.2,WBGene00001758,Sequence name for WBGene00001758(gst-10). History: N.A.
ZK430.3,6.0,5.0,CE05080 WBGene00007036 locus:sod-5 superoxide dismutase status:Confirmed TR:Q27538 protein_id:AAA83577.1,ZK430.3,WBGene00007036,Sequence name for WBGene00007036(sod-5). History: N.A.
C54C6.2,102.0,84.0,CE33770 WBGene00000248 locus:ben-1 tubulin status:Partially_confirmed TR:Q18817 protein_id:CAB00853.4,C54C6.2,WBGene00000248,Sequence name for WBGene00000248(ben-1). History: N.A.
F26D10.3,208.0,171.0,CE09682 WBGene00002005 locus:hsp-1 HSP-1 heat shock 70kd protein A status:Confirmed SW:P09446 protein_id:CAB02319.1,F26D10.3,WBGene00002005,Sequence name for WBGene00002005(hsp-1). History: N.A.
Y113G7A.3,11.0,9.0,CE27230 WBGene00004754 locus:sec-23 status:Confirmed TR:Q9U2Z1 protein_id:CAB60476.2,Y113G7A.3,WBGene00004754,Sequence name for WBGene00004754(sec-23). History: N.A.
K07C5.4,22.0,18.0,CE06114 WBGene00010627 yeast protein L8167.9-like status:Confirmed SW:Q21276 protein_id:CAA94897.1,K07C5.4,WBGene00010627,Sequence name for WBGene00010627(nol-56). History: N.A.
C05C10.3,21.0,17.0,CE01467 WBGene00007330 3-oxoacid CoA-transferase status:Confirmed SW:Q09450 protein_id:CAA88202.1,C05C10.3,WBGene00007330,Public name for WBGene00007330. History: N.A.
K10B3.8,62.0,50.0,CE07371 WBGene00001684 locus:gpd-2 status:Confirmed SW:P17329 protein_id:AAB53874.1,K10B3.8,WBGene00001684,Sequence name for WBGene00001684(gpd-2). History: N.A.
T20G5.2,72.0,58.0,CE00513 WBGene00000833 locus:cts-1 Citrate synthase status:Confirmed SW:P34575 protein_id:CAA83004.1,T20G5.2,WBGene00000833,Sequence name for WBGene00000833(cts-1). History: N.A.
F25H5.1e,10.0,8.0,CE15896 WBGene00006407 locus:lim-9 LIM domain containing proteins status:Confirmed TR:O17833 protein_id:CAB02981.1,F25H5.1e,WBGene00006407,Molecule name for WBGene00006407(lim-9). History: Renamed on 2007-02-02
W07G4.4,30.0,24.0,CE03794 WBGene00012338 cytosolic aminopeptidase status:Confirmed SW:Q27245 protein_id:CAB01448.1,W07G4.4,WBGene00002250,"Sequence name for WBGene00002250(lap-2). History: N.A.. Public name for Dead gene WBGene00012338. History of WBGene00012338: Merged into ""WBGene00002250"" on 2011-06-16"
C34F11.3c,5.0,4.0,CE39332 WBGene00016415 status:Confirmed TR:Q2V4S6 protein_id:ABB88235.1,C34F11.3c,WBGene00016415,Molecule name for WBGene00016415(ampd-1). History: N.A.
F26B1.3,5.0,4.0,"CE09675 WBGene00002073 locus:ima-2 importin alpha, nuclear transport factor status:Confirmed SW:P91276 protein_id:AAB37790.1",F26B1.3,WBGene00002073,Sequence name for WBGene00002073(ima-2). History: N.A.
F48F7.1,5.0,4.0,CE31525 WBGene00000105 locus:alg-1 status:Confirmed TR:Q20578 protein_id:CAA93512.2,F48F7.1,WBGene00000105,Sequence name for WBGene00000105(alg-1). History: N.A.
C17G10.8,5.0,4.0,CE02490 WBGene00000970 locus:dhs-6 Alcohol dehydrogenase status:Partially_confirmed TR:Q09979 protein_id:AAK68187.1,C17G10.8,WBGene00000970,Sequence name for WBGene00000970(dhs-6). History: N.A.
C50F4.7,5.0,4.0,CE03252 WBGene00001911 locus:his-37 histone H4 status:Confirmed SW:P62784 protein_id:CAA94742.1,C50F4.7,WBGene00001911,Sequence name for WBGene00001911(his-37). History: N.A.
F42G9.1a,5.0,4.0,CE07231 WBGene00018362 Protein phosphatase status:Confirmed SW:P49595 protein_id:AAA91358.1,F42G9.1a,WBGene00018362,Molecule name for WBGene00018362(ppm-1.G). History: N.A.
C08F11.11,25.0,20.0,CE17388 WBGene00007458 status:Confirmed SW:O62053 protein_id:CAB05678.1,C08F11.11,WBGene00007458,Sequence name for WBGene00007458(ule-4). History: N.A.
T20H4.3a,24.0,19.0,CE00748 WBGene00004189 locus:prs-1 Prolyl-tRNA synthetase region status:Confirmed TR:Q22620 protein_id:AAA50660.1,T20H4.3a,WBGene00004189,Molecule name for WBGene00004189(pars-1). History: Renamed on 2010-01-29
R05F9.6,19.0,15.0,CE04809 WBGene00019890 phosphoglucomutase status:Confirmed TR:Q21742 protein_id:AAA83163.1,R05F9.6,WBGene00019890,Public name for WBGene00019890. History: N.A.
LLC1.3,37.0,29.0,CE31971 WBGene00010794 dihydrolipoamide dehydrogenase status:Confirmed TR:O17953 protein_id:CAB05249.2,LLC1.3,WBGene00010794,Sequence name for WBGene00010794(dld-1). History: N.A.
Y65B4BR.5b,9.0,7.0,CE33239 WBGene00022042 status:Confirmed SW:Q86S66 protein_id:AAO21415.1,,,
C07G2.3a,9.0,7.0,CE02985 WBGene00000380 locus:cct-5 TCP-1 like chaperonin status:Confirmed SW:P47209 protein_id:CAA84660.1,,,
T21B10.7,18.0,14.0,CE16437 WBGene00011889 t-complex protein 1 status:Confirmed SW:P47207 protein_id:CAA20331.1,T21B10.7,WBGene00000378,"Sequence name for WBGene00000378(cct-2). History: N.A.. Public name for Dead gene WBGene00011889. History of WBGene00011889: Merged into ""WBGene00000378"" on 2007-10-09"
D1054.10,9.0,7.0,CE05528 WBGene00008377 status:Confirmed TR:Q18943 protein_id:CAA98435.1,D1054.10,WBGene00008377,Public name for WBGene00008377. History: N.A.
F20G4.3,13.0,10.0,CE27133 WBGene00003777 locus:nmy-2 myosin heavy chain status:Confirmed TR:Q19658 protein_id:CAA99931.2,F20G4.3,WBGene00003777,Sequence name for WBGene00003777(nmy-2). History: N.A.
F28H1.2,108.0,83.0,CE09767 WBGene00000779 locus:cpn-3 calponin status:Confirmed TR:O01542 protein_id:AAB52338.1,F28H1.2,WBGene00000779,Sequence name for WBGene00000779(cpn-3). History: N.A.
B0272.1,85.0,65.0,CE00850 WBGene00006538 locus:tbb-4 tubulin beta chain status:Partially_confirmed SW:P41937 protein_id:CAA86310.1,B0272.1,WBGene00006538,Sequence name for WBGene00006538(tbb-4). History: N.A.
R03G5.1a,412.0,312.0,CE01270 WBGene00001169 locus:eft-4 elongation factor EF-1-alpha status:Confirmed SW:P53013 protein_id:AAA96068.1,,,
C14B1.1,41.0,31.0,CE00897 WBGene00003962 locus:pdi-1 protein disulfide isomerase status:Confirmed SW:Q17967 protein_id:CAA85491.1,C14B1.1,WBGene00003962,Sequence name for WBGene00003962(pdi-1). History: N.A.
F23F1.8a,4.0,3.0,CE29280 WBGene00004504 locus:rpt-4 status:Confirmed SW:O17071 protein_id:AAB70326.2,F23F1.8a,WBGene00004504,Molecule name for WBGene00004504(rpt-4). History: N.A.
T22H6.2b,4.0,3.0,CE26824 WBGene00011938 status:Confirmed TR:Q9BI69 protein_id:CAC35828.1,T22H6.2b,WBGene00011938,Molecule name for WBGene00011938(alh-13). History: N.A.
F09G2.9,4.0,3.0,CE09304 WBGene00017317 status:Confirmed TR:O17406 protein_id:AAB71317.1,F09G2.9,WBGene00017317,Sequence name for WBGene00017317(attf-2). History: N.A.
E04F6.5b,8.0,6.0,CE36993 WBGene00017125 status:Confirmed TR:Q6AHQ5 protein_id:AAT81203.1,E04F6.5b,WBGene00017125,Molecule name for WBGene00017125(acdh-12). History: N.A.
Y48G1A.5,4.0,3.0,"CE27001 WBGene00002079 locus:imb-5 importin beta, nuclear transport factor status:Partially_confirmed TR:Q965V4 protein_id:AAK84610.1",Y48G1A.5,WBGene00002079,Sequence name for WBGene00002079(xpo-2). History: Renamed on 2008-01-30
T25F10.6b,4.0,3.0,CE37049 WBGene00020808 status:Confirmed TR:Q6A723 protein_id:AAT81185.1,T25F10.6b,WBGene00020808,Molecule name for WBGene00020808(clik-1). History: N.A.
C15H9.6,59.0,44.0,CE08177 WBGene00002007 locus:hsp-3 heat shock protein status:Confirmed SW:P27420 protein_id:AAB52671.1,C15H9.6,WBGene00002007,Sequence name for WBGene00002007(hsp-3). History: N.A.
C31C9.2,15.0,11.0,CE08497 WBGene00007836 D-3-Phosphoglycerate dehydrogenase status:Confirmed TR:O17626 protein_id:CAB05694.1,C31C9.2,WBGene00007836,Public name for WBGene00007836. History: N.A.
F54A3.3,11.0,8.0,CE31540 WBGene00018782 status:Partially_confirmed TR:Q9N4J8 protein_id:AAF35963.3,F54A3.3,WBGene00018782,Sequence name for WBGene00018782(cct-3). History: N.A.
R05H5.3,11.0,8.0,CE02290 WBGene00011038 thioredoxin status:Confirmed TR:Q21763 protein_id:CAA88726.1,R05H5.3,WBGene00011038,Public name for WBGene00011038. History: N.A.
F10D11.1,11.0,8.0,CE09323 WBGene00004931 locus:sod-2 superoxide dismutase status:Confirmed SW:P31161 protein_id:CAB02913.1,F10D11.1,WBGene00004931,Sequence name for WBGene00004931(sod-2). History: N.A.
K07A3.1,11.0,8.0,CE21023 WBGene00001404 locus:fbp-1 fructose-bisphosphatase status:Confirmed TR:Q9N2M2 protein_id:AAF39910.1,K07A3.1,WBGene00001404,Sequence name for WBGene00001404(fbp-1). History: N.A.
C55B7.4b,67.0,48.0,CE32840 WBGene00016943 locus:acdh-1 status:Confirmed TR:Q8IAB6 protein_id:AAN84837.1,C55B7.4b,WBGene00016943,Molecule name for WBGene00016943(acdh-1). History: Renamed on 2004-08-25
B0285.3,7.0,5.0,CE00667 WBGene00007136 status:Confirmed SW:P46553 protein_id:CAA84296.1,B0285.3,WBGene00007136,Public name for WBGene00007136. History: N.A.
B0336.2,7.0,5.0,CE00696 WBGene00000182 locus:arf-1.2 ARF status:Confirmed SW:Q10943 protein_id:AAK18851.1,B0336.2,WBGene00000182,Sequence name for WBGene00000182(arf-1). History: Renamed on 2020-09-10
M03F4.7a,7.0,5.0,CE12368 WBGene00019760 locus:calu-1 calcium binding protein status:Confirmed TR:Q23017 protein_id:AAB04578.1,M03F4.7a,WBGene00019760,Molecule name for WBGene00019760(calu-1). History: N.A.
Y53F4B.29,7.0,5.0,CE22416 WBGene00001774 locus:gst-26 glutathione S-transferase status:Confirmed TR:Q9NAB4 protein_id:CAB61103.1,Y53F4B.29,WBGene00001774,Sequence name for WBGene00001774(gst-26). History: N.A.
F44G3.2,7.0,5.0,CE16034 WBGene00009706 arginine kinase status:Confirmed TR:O45518 protein_id:CAB05517.1,F44G3.2,WBGene00009706,Sequence name for WBGene00009706(argk-1). History: N.A.
CD4.6,7.0,5.0,CE16954 WBGene00003927 locus:pas-6 protease status:Confirmed SW:O44156 protein_id:AAB88344.1,CD4.6,WBGene00003927,Sequence name for WBGene00003927(pas-6). History: N.A.
Y102A5A.1,7.0,5.0,CE20378 WBGene00013606 locus:cand-1 status:Partially_confirmed TR:Q9XTJ0 protein_id:CAA19440.1,Y102A5A.1,WBGene00013606,Sequence name for WBGene00013606(cand-1). History: N.A.
ZK1248.17,10.0,7.0,CE02901 WBGene00022884 major sperm protein status:Predicted TR:Q23428 protein_id:AAC71098.1,ZK1248.17,WBGene00022884,Public name for WBGene00022884. History: N.A.
T05C12.7,10.0,7.0,CE02319 WBGene00000377 locus:cct-1 T-complex protein status:Confirmed SW:P41988 protein_id:CAA91308.1,T05C12.7,WBGene00000377,Sequence name for WBGene00000377(cct-1). History: N.A.
C04C3.3,10.0,7.0,CE27647 WBGene00015413 pyruvate dehydrogenase status:Confirmed SW:O44451 protein_id:AAB92024.2,C04C3.3,WBGene00015413,Sequence name for WBGene00015413(pdhb-1). History: N.A.
F20H11.3,64.0,44.0,CE09512 WBGene00003162 locus:mdh-1 malate dehydrogenase status:Confirmed SW:O02640 protein_id:AAB53985.1,F20H11.3,WBGene00003162,Sequence name for WBGene00003162(mdh-2). History: Renamed on 2010-08-18
Y106G6H.2c,54.0,37.0,CE36228 WBGene00003902 locus:pab-1 status:Confirmed TR:Q7K797 protein_id:CAE54917.1,,,
F54D11.1,60.0,41.0,CE11068 WBGene00018811 locus:pmt-2 status:Confirmed TR:Q22993 protein_id:AAB04824.1,F54D11.1,WBGene00018811,Sequence name for WBGene00018811(pmt-2). History: N.A.
C06A8.3,56.0,38.0,CE02454 WBGene00015514 17k antigen (O. volvulus) status:Confirmed TR:Q17698 protein_id:AAA81053.1,C06A8.3,WBGene00015514,Sequence name for WBGene00015514(nlp-77). History: N.A.
T07D4.4a,3.0,2.0,CE18219 WBGene00011580 ATP-dependent helicase status:Partially_confirmed TR:Q22308 protein_id:CAA90408.1,T07D4.4a,WBGene00011580,Molecule name for WBGene00011580(ddx-19). History: N.A.
F20D12.1a,3.0,2.0,CE04431 WBGene00017641 locus:csr-1 status:Partially_confirmed TR:Q19645 protein_id:AAA81677.1,F20D12.1a,WBGene00017641,Molecule name for WBGene00017641(csr-1). History: N.A.
T27E9.1a,9.0,6.0,CE14263 WBGene00006439 locus:tag-61 ADP\/ATP carrier protein status:Confirmed TR:O45865 protein_id:CAB04874.1,,,
T14G10.5b,6.0,4.0,CE39281 WBGene00011775 status:Confirmed TR:Q2XN02 protein_id:CAJ43445.1,T14G10.5b,WBGene00011775,Molecule name for WBGene00011775(copg-1). History: N.A.
F25H2.10,3.0,2.0,CE09655 WBGene00004408 locus:rpa-0 deoxyribonuclease status:Confirmed SW:Q93572 protein_id:CAB02098.1,F25H2.10,WBGene00004408,Sequence name for WBGene00004408(rla-0). History: Renamed on 2010-03-08
Y45F10C.4,3.0,2.0,CE16638 WBGene00012880 status:Confirmed SW:O45944 protein_id:CAB16479.1,Y45F10C.4,WBGene00012880,Public name for WBGene00012880. History: N.A.
Y105E8B.1b,6.0,4.0,CE36223 WBGene00002978 locus:lev-11 status:Partially_confirmed SW:Q22866 protein_id:CAC70113.2,Y105E8B.1b,WBGene00002978,Molecule name for WBGene00002978(lev-11). History: N.A.
F08F3.4,3.0,2.0,CE32856 WBGene00017262 status:Confirmed TR:Q22945 protein_id:AAN84827.1,F08F3.4,WBGene00017262,Public name for WBGene00017262. History: N.A.
T05H10.6b,9.0,6.0,CE32929 WBGene00011510 status:Confirmed TR:Q8I111 protein_id:CAD59156.1,T05H10.6b,WBGene00011510,Molecule name for WBGene00011510(pdha-1). History: N.A.
T06D8.8,3.0,2.0,CE02329 WBGene00004465 locus:rpn-9 status:Confirmed TR:Q22253 protein_id:CAA88971.1,T06D8.8,WBGene00004465,Sequence name for WBGene00004465(rpn-9). History: N.A.
